QuestID,QuestName,QuestType,QuestTarget,ValueGoal,RewardID,RewardType,RewardCount
QR039,외공 강화,3,ExtPow,10,11001,1,10
QR040,내공 강화,3,InnPow,10,11001,1,10
QR041,상자 열기,3,Box,10,11005,1,10
QR042,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR043,장비 뽑기,3,Gacha2,10,11007,1,300
QR044,캐릭터 공력 상승,3,Growth,5,11003,1,900
QR045,스테이지 클리어,3,Stage,1,11001,1,10
QR046,요괴 처치,3,Monster,60,11002,1,1000
QR047,체력 강화,3,Vital,10,11001,1,10
QR048,외공 강화,3,ExtPow,10,11001,1,10
QR049,내공 강화,3,InnPow,10,11001,1,10
QR050,상자 열기,3,Box,10,11005,1,10
QR051,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR052,장비 뽑기,3,Gacha2,10,11007,1,300
QR053,캐릭터 공력 상승,3,Growth,6,11003,1,1000
QR054,스테이지 클리어,3,Stage,1,11001,1,10
QR055,요괴 처치,3,Monster,70,11002,1,1100
QR056,체력 강화,3,Vital,10,11001,1,10
QR057,외공 강화,3,ExtPow,10,11001,1,10
QR058,내공 강화,3,InnPow,10,11001,1,10
QR059,상자 열기,3,Box,10,11005,1,10
QR060,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR061,장비 뽑기,3,Gacha2,10,11007,1,300
QR062,캐릭터 공력 상승,3,Growth,7,11003,1,1100
QR063,스테이지 클리어,3,Stage,1,11001,1,10
QR064,요괴 처치,3,Monster,80,11002,1,1200
QR065,체력 강화,3,Vital,10,11001,1,10
QR066,외공 강화,3,ExtPow,10,11001,1,10
QR067,내공 강화,3,InnPow,10,11001,1,10
QR068,상자 열기,3,Box,10,11005,1,10
QR069,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR070,장비 뽑기,3,Gacha2,10,11007,1,300
QR071,캐릭터 공력 상승,3,Growth,8,11003,1,1200
QR072,스테이지 클리어,3,Stage,1,11001,1,10
QR073,요괴 처치,3,Monster,90,11002,1,1300
QR074,체력 강화,3,Vital,10,11001,1,10
QR075,외공 강화,3,ExtPow,10,11001,1,10
QR076,내공 강화,3,InnPow,10,11001,1,10
QR077,상자 열기,3,Box,10,11005,1,10
QR078,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR079,장비 뽑기,3,Gacha2,10,11007,1,300
QR080,캐릭터 공력 상승,3,Growth,9,11003,1,1300
QR081,스테이지 클리어,3,Stage,1,11001,1,10
QR082,요괴 처치,3,Monster,100,11002,1,1400
QR083,체력 강화,3,Vital,10,11001,1,10
QR084,외공 강화,3,ExtPow,10,11001,1,10
QR085,내공 강화,3,InnPow,10,11001,1,10
QR086,상자 열기,3,Box,10,11005,1,10
QR087,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR088,장비 뽑기,3,Gacha2,10,11007,1,300
QR089,캐릭터 공력 상승,3,Growth,10,11003,1,1400
QR090,스테이지 클리어,3,Stage,1,11001,1,10
QR091,요괴 처치,3,Monster,110,11002,1,1500
QR092,체력 강화,3,Vital,10,11001,1,10
QR093,외공 강화,3,ExtPow,10,11001,1,10
QR094,내공 강화,3,InnPow,10,11001,1,10
QR095,상자 열기,3,Box,10,11005,1,10
QR096,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR097,장비 뽑기,3,Gacha2,10,11007,1,300
QR098,캐릭터 공력 상승,3,Growth,11,11003,1,1500
QR099,스테이지 클리어,3,Stage,1,11001,1,10
QR100,요괴 처치,3,Monster,120,11002,1,1600
QR101,체력 강화,3,Vital,10,11001,1,10
QR102,외공 강화,3,ExtPow,10,11001,1,10
QR103,내공 강화,3,InnPow,10,11001,1,10
QR104,상자 열기,3,Box,10,11005,1,10
QR105,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR106,장비 뽑기,3,Gacha2,10,11007,1,300
QR107,캐릭터 공력 상승,3,Growth,12,11003,1,1600
QR108,스테이지 클리어,3,Stage,1,11001,1,10
QR109,요괴 처치,3,Monster,130,11002,1,1700
QR110,체력 강화,3,Vital,10,11001,1,10
QR111,외공 강화,3,ExtPow,10,11001,1,10
QR112,내공 강화,3,InnPow,10,11001,1,10
QR113,상자 열기,3,Box,10,11005,1,10
QR114,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR115,장비 뽑기,3,Gacha2,10,11007,1,300
QR116,캐릭터 공력 상승,3,Growth,13,11003,1,1700
QR117,스테이지 클리어,3,Stage,1,11001,1,10
QR118,요괴 처치,3,Monster,140,11002,1,1800
QR119,체력 강화,3,Vital,10,11001,1,10
QR120,외공 강화,3,ExtPow,10,11001,1,10
QR121,내공 강화,3,InnPow,10,11001,1,10
QR122,상자 열기,3,Box,10,11005,1,10
QR123,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR124,장비 뽑기,3,Gacha2,10,11007,1,300
QR125,캐릭터 공력 상승,3,Growth,14,11003,1,1800
QR126,스테이지 클리어,3,Stage,1,11001,1,10
QR127,요괴 처치,3,Monster,150,11002,1,1900
QR128,체력 강화,3,Vital,10,11001,1,10
QR129,외공 강화,3,ExtPow,10,11001,1,10
QR130,내공 강화,3,InnPow,10,11001,1,10
QR131,상자 열기,3,Box,10,11005,1,10
QR132,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR133,장비 뽑기,3,Gacha2,10,11007,1,300
QR134,캐릭터 공력 상승,3,Growth,15,11003,1,1900
QR135,스테이지 클리어,3,Stage,1,11001,1,10
QR136,요괴 처치,3,Monster,160,11002,1,2000
QR137,체력 강화,3,Vital,10,11001,1,10
QR138,외공 강화,3,ExtPow,10,11001,1,10
QR139,내공 강화,3,InnPow,10,11001,1,10
QR140,상자 열기,3,Box,10,11005,1,10
QR141,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR142,장비 뽑기,3,Gacha2,10,11007,1,300
QR143,캐릭터 공력 상승,3,Growth,16,11003,1,2000
QR144,스테이지 클리어,3,Stage,1,11001,1,10
QR145,요괴 처치,3,Monster,170,11002,1,2100
QR146,체력 강화,3,Vital,10,11001,1,10
QR147,외공 강화,3,ExtPow,10,11001,1,10
QR148,내공 강화,3,InnPow,10,11001,1,10
QR149,상자 열기,3,Box,10,11005,1,10
QR150,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR151,장비 뽑기,3,Gacha2,10,11007,1,300
QR152,캐릭터 공력 상승,3,Growth,17,11003,1,2100
QR153,스테이지 클리어,3,Stage,1,11001,1,10
QR154,요괴 처치,3,Monster,180,11002,1,2200
QR155,체력 강화,3,Vital,10,11001,1,10
QR156,외공 강화,3,ExtPow,10,11001,1,10
QR157,내공 강화,3,InnPow,10,11001,1,10
QR158,상자 열기,3,Box,10,11005,1,10
QR159,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR160,장비 뽑기,3,Gacha2,10,11007,1,300
QR161,캐릭터 공력 상승,3,Growth,18,11003,1,2200
QR162,스테이지 클리어,3,Stage,1,11001,1,10
QR163,요괴 처치,3,Monster,190,11002,1,2300
QR164,체력 강화,3,Vital,10,11001,1,10
QR165,외공 강화,3,ExtPow,10,11001,1,10
QR166,내공 강화,3,InnPow,10,11001,1,10
QR167,상자 열기,3,Box,10,11005,1,10
QR168,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR169,장비 뽑기,3,Gacha2,10,11007,1,300
QR170,캐릭터 공력 상승,3,Growth,19,11003,1,2300
QR171,스테이지 클리어,3,Stage,1,11001,1,10
QR172,요괴 처치,3,Monster,200,11002,1,2400
QR173,체력 강화,3,Vital,10,11001,1,10
QR174,외공 강화,3,ExtPow,10,11001,1,10
QR175,내공 강화,3,InnPow,10,11001,1,10
QR176,상자 열기,3,Box,10,11005,1,10
QR177,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR178,장비 뽑기,3,Gacha2,10,11007,1,300
QR179,캐릭터 공력 상승,3,Growth,20,11003,1,2400
QR180,스테이지 클리어,3,Stage,1,11001,1,10
QR181,요괴 처치,3,Monster,210,11002,1,2500
QR182,체력 강화,3,Vital,10,11001,1,10
QR183,외공 강화,3,ExtPow,10,11001,1,10
QR184,내공 강화,3,InnPow,10,11001,1,10
QR185,상자 열기,3,Box,10,11005,1,10
QR186,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR187,장비 뽑기,3,Gacha2,10,11007,1,300
QR188,캐릭터 공력 상승,3,Growth,21,11003,1,2500
QR189,스테이지 클리어,3,Stage,1,11001,1,10
QR190,요괴 처치,3,Monster,220,11002,1,2600
QR191,체력 강화,3,Vital,10,11001,1,10
QR192,외공 강화,3,ExtPow,10,11001,1,10
QR193,내공 강화,3,InnPow,10,11001,1,10
QR194,상자 열기,3,Box,10,11005,1,10
QR195,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR196,장비 뽑기,3,Gacha2,10,11007,1,300
QR197,캐릭터 공력 상승,3,Growth,22,11003,1,2600
QR198,스테이지 클리어,3,Stage,1,11001,1,10
QR199,요괴 처치,3,Monster,230,11002,1,2700
QR200,체력 강화,3,Vital,10,11001,1,10
QR201,외공 강화,3,ExtPow,10,11001,1,10
QR202,내공 강화,3,InnPow,10,11001,1,10
QR203,상자 열기,3,Box,10,11005,1,10
QR204,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR205,장비 뽑기,3,Gacha2,10,11007,1,300
QR206,캐릭터 공력 상승,3,Growth,23,11003,1,2700
QR207,스테이지 클리어,3,Stage,1,11001,1,10
QR208,요괴 처치,3,Monster,240,11002,1,2800
QR209,체력 강화,3,Vital,10,11001,1,10
QR210,외공 강화,3,ExtPow,10,11001,1,10
QR211,내공 강화,3,InnPow,10,11001,1,10
QR212,상자 열기,3,Box,10,11005,1,10
QR213,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR214,장비 뽑기,3,Gacha2,10,11007,1,300
QR215,캐릭터 공력 상승,3,Growth,24,11003,1,2800
QR216,스테이지 클리어,3,Stage,1,11001,1,10
QR217,요괴 처치,3,Monster,250,11002,1,2900
QR218,체력 강화,3,Vital,10,11001,1,10
QR219,외공 강화,3,ExtPow,10,11001,1,10
QR220,내공 강화,3,InnPow,10,11001,1,10
QR221,상자 열기,3,Box,10,11005,1,10
QR222,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR223,장비 뽑기,3,Gacha2,10,11007,1,300
QR224,캐릭터 공력 상승,3,Growth,25,11003,1,2900
QR225,스테이지 클리어,3,Stage,1,11001,1,10
QR226,요괴 처치,3,Monster,260,11002,1,3000
QR227,체력 강화,3,Vital,10,11001,1,10
QR228,외공 강화,3,ExtPow,10,11001,1,10
QR229,내공 강화,3,InnPow,10,11001,1,10
QR230,상자 열기,3,Box,10,11005,1,10
QR231,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR232,장비 뽑기,3,Gacha2,10,11007,1,300
QR233,캐릭터 공력 상승,3,Growth,26,11003,1,3000
QR234,스테이지 클리어,3,Stage,1,11001,1,10
QR235,요괴 처치,3,Monster,270,11002,1,3100
QR236,체력 강화,3,Vital,10,11001,1,10
QR237,외공 강화,3,ExtPow,10,11001,1,10
QR238,내공 강화,3,InnPow,10,11001,1,10
QR239,상자 열기,3,Box,10,11005,1,10
QR240,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR241,장비 뽑기,3,Gacha2,10,11007,1,300
QR242,캐릭터 공력 상승,3,Growth,27,11003,1,3100
QR243,스테이지 클리어,3,Stage,1,11001,1,10
QR244,요괴 처치,3,Monster,280,11002,1,3200
QR245,체력 강화,3,Vital,10,11001,1,10
QR246,외공 강화,3,ExtPow,10,11001,1,10
QR247,내공 강화,3,InnPow,10,11001,1,10
QR248,상자 열기,3,Box,10,11005,1,10
QR249,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR250,장비 뽑기,3,Gacha2,10,11007,1,300
QR251,캐릭터 공력 상승,3,Growth,28,11003,1,3200
QR252,스테이지 클리어,3,Stage,1,11001,1,10
QR253,요괴 처치,3,Monster,290,11002,1,3300
QR254,체력 강화,3,Vital,10,11001,1,10
QR255,외공 강화,3,ExtPow,10,11001,1,10
QR256,내공 강화,3,InnPow,10,11001,1,10
QR257,상자 열기,3,Box,10,11005,1,10
QR258,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR259,장비 뽑기,3,Gacha2,10,11007,1,300
QR260,캐릭터 공력 상승,3,Growth,29,11003,1,3300
QR261,스테이지 클리어,3,Stage,1,11001,1,10
QR262,요괴 처치,3,Monster,300,11002,1,3400
QR263,체력 강화,3,Vital,10,11001,1,10
QR264,외공 강화,3,ExtPow,10,11001,1,10
QR265,내공 강화,3,InnPow,10,11001,1,10
QR266,상자 열기,3,Box,10,11005,1,10
QR267,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR268,장비 뽑기,3,Gacha2,10,11007,1,300
QR269,캐릭터 공력 상승,3,Growth,30,11003,1,3400
QR270,스테이지 클리어,3,Stage,1,11001,1,10
QR271,요괴 처치,3,Monster,310,11002,1,3500
QR272,체력 강화,3,Vital,10,11001,1,10
QR273,외공 강화,3,ExtPow,10,11001,1,10
QR274,내공 강화,3,InnPow,10,11001,1,10
QR275,상자 열기,3,Box,10,11005,1,10
QR276,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR277,장비 뽑기,3,Gacha2,10,11007,1,300
QR278,캐릭터 공력 상승,3,Growth,31,11003,1,3500
QR279,스테이지 클리어,3,Stage,1,11001,1,10
QR280,요괴 처치,3,Monster,320,11002,1,3600
QR281,체력 강화,3,Vital,10,11001,1,10
QR282,외공 강화,3,ExtPow,10,11001,1,10
QR283,내공 강화,3,InnPow,10,11001,1,10
QR284,상자 열기,3,Box,10,11005,1,10
QR285,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR286,장비 뽑기,3,Gacha2,10,11007,1,300
QR287,캐릭터 공력 상승,3,Growth,32,11003,1,3600
QR288,스테이지 클리어,3,Stage,1,11001,1,10
QR289,요괴 처치,3,Monster,330,11002,1,3700
QR290,체력 강화,3,Vital,10,11001,1,10
QR291,외공 강화,3,ExtPow,10,11001,1,10
QR292,내공 강화,3,InnPow,10,11001,1,10
QR293,상자 열기,3,Box,10,11005,1,10
QR294,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR295,장비 뽑기,3,Gacha2,10,11007,1,300
QR296,캐릭터 공력 상승,3,Growth,33,11003,1,3700
QR297,스테이지 클리어,3,Stage,1,11001,1,10
QR298,요괴 처치,3,Monster,340,11002,1,3800
QR299,체력 강화,3,Vital,10,11001,1,10
QR300,외공 강화,3,ExtPow,10,11001,1,10
QR301,내공 강화,3,InnPow,10,11001,1,10
QR302,상자 열기,3,Box,10,11005,1,10
QR303,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR304,장비 뽑기,3,Gacha2,10,11007,1,300
QR305,캐릭터 공력 상승,3,Growth,34,11003,1,3800
QR306,스테이지 클리어,3,Stage,1,11001,1,10
QR307,요괴 처치,3,Monster,350,11002,1,3900
QR308,체력 강화,3,Vital,10,11001,1,10
QR309,외공 강화,3,ExtPow,10,11001,1,10
QR310,내공 강화,3,InnPow,10,11001,1,10
QR311,상자 열기,3,Box,10,11005,1,10
QR312,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR313,장비 뽑기,3,Gacha2,10,11007,1,300
QR314,캐릭터 공력 상승,3,Growth,35,11003,1,3900
QR315,스테이지 클리어,3,Stage,1,11001,1,10
QR316,요괴 처치,3,Monster,360,11002,1,4000
QR317,체력 강화,3,Vital,10,11001,1,10
QR318,외공 강화,3,ExtPow,10,11001,1,10
QR319,내공 강화,3,InnPow,10,11001,1,10
QR320,상자 열기,3,Box,10,11005,1,10
QR321,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR322,장비 뽑기,3,Gacha2,10,11007,1,300
QR323,캐릭터 공력 상승,3,Growth,36,11003,1,4000
QR324,스테이지 클리어,3,Stage,1,11001,1,10
QR325,요괴 처치,3,Monster,370,11002,1,4100
QR326,체력 강화,3,Vital,10,11001,1,10
QR327,외공 강화,3,ExtPow,10,11001,1,10
QR328,내공 강화,3,InnPow,10,11001,1,10
QR329,상자 열기,3,Box,10,11005,1,10
QR330,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR331,장비 뽑기,3,Gacha2,10,11007,1,300
QR332,캐릭터 공력 상승,3,Growth,37,11003,1,4100
QR333,스테이지 클리어,3,Stage,1,11001,1,10
QR334,요괴 처치,3,Monster,380,11002,1,4200
QR335,체력 강화,3,Vital,10,11001,1,10
QR336,외공 강화,3,ExtPow,10,11001,1,10
QR337,내공 강화,3,InnPow,10,11001,1,10
QR338,상자 열기,3,Box,10,11005,1,10
QR339,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR340,장비 뽑기,3,Gacha2,10,11007,1,300
QR341,캐릭터 공력 상승,3,Growth,38,11003,1,4200
QR342,스테이지 클리어,3,Stage,1,11001,1,10
QR343,요괴 처치,3,Monster,390,11002,1,4300
QR344,체력 강화,3,Vital,10,11001,1,10
QR345,외공 강화,3,ExtPow,10,11001,1,10
QR346,내공 강화,3,InnPow,10,11001,1,10
QR347,상자 열기,3,Box,10,11005,1,10
QR348,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR349,장비 뽑기,3,Gacha2,10,11007,1,300
QR350,캐릭터 공력 상승,3,Growth,39,11003,1,4300
QR351,스테이지 클리어,3,Stage,1,11001,1,10
QR352,요괴 처치,3,Monster,400,11002,1,4400
QR353,체력 강화,3,Vital,10,11001,1,10
QR354,외공 강화,3,ExtPow,10,11001,1,10
QR355,내공 강화,3,InnPow,10,11001,1,10
QR356,상자 열기,3,Box,10,11005,1,10
QR357,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR358,장비 뽑기,3,Gacha2,10,11007,1,300
QR359,캐릭터 공력 상승,3,Growth,40,11003,1,4400
QR360,스테이지 클리어,3,Stage,1,11001,1,10
QR361,요괴 처치,3,Monster,410,11002,1,4500
QR362,체력 강화,3,Vital,10,11001,1,10
QR363,외공 강화,3,ExtPow,10,11001,1,10
QR364,내공 강화,3,InnPow,10,11001,1,10
QR365,상자 열기,3,Box,10,11005,1,10
QR366,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR367,장비 뽑기,3,Gacha2,10,11007,1,300
QR368,캐릭터 공력 상승,3,Growth,41,11003,1,4500
QR369,스테이지 클리어,3,Stage,1,11001,1,10
QR370,요괴 처치,3,Monster,420,11002,1,4600
QR371,체력 강화,3,Vital,10,11001,1,10
QR372,외공 강화,3,ExtPow,10,11001,1,10
QR373,내공 강화,3,InnPow,10,11001,1,10
QR374,상자 열기,3,Box,10,11005,1,10
QR375,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR376,장비 뽑기,3,Gacha2,10,11007,1,300
QR377,캐릭터 공력 상승,3,Growth,42,11003,1,4600
QR378,스테이지 클리어,3,Stage,1,11001,1,10
QR379,요괴 처치,3,Monster,430,11002,1,4700
QR380,체력 강화,3,Vital,10,11001,1,10
QR381,외공 강화,3,ExtPow,10,11001,1,10
QR382,내공 강화,3,InnPow,10,11001,1,10
QR383,상자 열기,3,Box,10,11005,1,10
QR384,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR385,장비 뽑기,3,Gacha2,10,11007,1,300
QR386,캐릭터 공력 상승,3,Growth,43,11003,1,4700
QR387,스테이지 클리어,3,Stage,1,11001,1,10
QR388,요괴 처치,3,Monster,440,11002,1,4800
QR389,체력 강화,3,Vital,10,11001,1,10
QR390,외공 강화,3,ExtPow,10,11001,1,10
QR391,내공 강화,3,InnPow,10,11001,1,10
QR392,상자 열기,3,Box,10,11005,1,10
QR393,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR394,장비 뽑기,3,Gacha2,10,11007,1,300
QR395,캐릭터 공력 상승,3,Growth,44,11003,1,4800
QR396,스테이지 클리어,3,Stage,1,11001,1,10
QR397,요괴 처치,3,Monster,450,11002,1,4900
QR398,체력 강화,3,Vital,10,11001,1,10
QR399,외공 강화,3,ExtPow,10,11001,1,10
QR400,내공 강화,3,InnPow,10,11001,1,10
QR401,상자 열기,3,Box,10,11005,1,10
QR402,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR403,장비 뽑기,3,Gacha2,10,11007,1,300
QR404,캐릭터 공력 상승,3,Growth,45,11003,1,4900
QR405,스테이지 클리어,3,Stage,1,11001,1,10
QR406,요괴 처치,3,Monster,460,11002,1,5000
QR407,체력 강화,3,Vital,10,11001,1,10
QR408,외공 강화,3,ExtPow,10,11001,1,10
QR409,내공 강화,3,InnPow,10,11001,1,10
QR410,상자 열기,3,Box,10,11005,1,10
QR411,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR412,장비 뽑기,3,Gacha2,10,11007,1,300
QR413,캐릭터 공력 상승,3,Growth,46,11003,1,5000
QR414,스테이지 클리어,3,Stage,1,11001,1,10
QR415,요괴 처치,3,Monster,470,11002,1,5100
QR416,체력 강화,3,Vital,10,11001,1,10
QR417,외공 강화,3,ExtPow,10,11001,1,10
QR418,내공 강화,3,InnPow,10,11001,1,10
QR419,상자 열기,3,Box,10,11005,1,10
QR420,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR421,장비 뽑기,3,Gacha2,10,11007,1,300
QR422,캐릭터 공력 상승,3,Growth,47,11003,1,5100
QR423,스테이지 클리어,3,Stage,1,11001,1,10
QR424,요괴 처치,3,Monster,480,11002,1,5200
QR425,체력 강화,3,Vital,10,11001,1,10
QR426,외공 강화,3,ExtPow,10,11001,1,10
QR427,내공 강화,3,InnPow,10,11001,1,10
QR428,상자 열기,3,Box,10,11005,1,10
QR429,캐릭터 뽑기,3,Gacha1,10,11006,1,10
QR430,장비 뽑기,3,Gacha2,10,11007,1,300
QR431,캐릭터 공력 상승,3,Growth,48,11003,1,5200
QR432,스테이지 클리어,3,Stage,1,11001,1,10
