 스테이지,일반 몬스터 체력,일반 몬스터 공격력,일반 몬스터 외공 방어력,일반 몬스터 내공 방어력,보스 몬스터 체력,보스 몬스터 공격력,보스 몬스터 외공 방어력,보스 몬스터 내공 방어력
130.00,671913.01,31.77,0.00,0.00,3359565.06,95.30,1500.00,750.00
131.00,718946.92,32.05,0.00,0.00,3594734.62,96.16,1800.00,900.00
132.00,769273.21,32.34,0.00,0.00,3846366.04,97.02,2100.00,1050.00
133.00,823122.33,32.63,0.00,0.00,4115611.66,97.89,2400.00,1200.00
134.00,880740.90,32.92,0.00,0.00,4403704.48,98.77,2700.00,1350.00
135.00,942392.76,33.22,0.00,0.00,4711963.79,99.66,3000.00,1500.00
136.00,1008360.25,33.52,0.00,0.00,5041801.26,100.56,3300.00,1650.00
137.00,1078945.47,33.82,0.00,0.00,5394727.35,101.47,3600.00,1800.00
138.00,1154471.65,34.13,0.00,0.00,5772358.26,102.38,3900.00,1950.00
139.00,1235284.67,34.43,0.00,0.00,6176423.34,103.30,4200.00,2100.00
140.00,1321754.59,34.74,0.00,0.00,6608772.97,104.23,4500.00,2250.00
141.00,1414277.42,35.06,0.00,0.00,7071387.08,105.17,4800.00,2400.00
142.00,1513276.83,35.37,0.00,0.00,7566384.17,106.11,5100.00,2550.00
143.00,1619206.21,35.69,0.00,0.00,8096031.07,107.07,5400.00,2700.00
144.00,1732550.65,36.01,0.00,0.00,8662753.24,108.03,5700.00,2850.00
145.00,1853829.19,36.34,0.00,0.00,9269145.97,109.01,6000.00,3000.00
146.00,1983597.24,36.66,0.00,0.00,9917986.19,109.99,6300.00,3150.00
147.00,2122449.04,36.99,0.00,0.00,10612245.22,110.98,6600.00,3300.00
148.00,2271020.48,37.33,0.00,0.00,11355102.38,111.98,6900.00,3450.00
149.00,2429991.91,37.66,0.00,0.00,12149959.55,112.98,7200.00,3600.00
150.00,2600091.34,38.00,0.00,0.00,15600548.06,114.00,7500.00,3750.00
151.00,2964104.13,38.34,0.00,0.00,14820520.66,115.03,7800.00,3900.00
152.00,3171591.42,38.69,0.00,0.00,15857957.11,116.06,4050.00,8100.00
153.00,3393602.82,39.04,0.00,0.00,16968014.11,117.11,4200.00,8400.00
154.00,3631155.02,39.39,0.00,0.00,18155775.09,118.16,4350.00,8700.00
155.00,3885335.87,39.74,0.00,0.00,19426679.35,119.22,4500.00,9000.00
156.00,4157309.38,40.10,0.00,0.00,20786546.90,120.30,4650.00,9300.00
157.00,4448321.04,40.46,0.00,0.00,22241605.19,121.38,4800.00,9600.00
158.00,4759703.51,40.82,0.00,0.00,23798517.55,122.47,4950.00,9900.00
159.00,5092882.76,41.19,0.00,0.00,25464413.78,123.57,5100.00,10200.00
160.00,5449384.55,41.56,0.00,0.00,27246922.74,124.69,5250.00,10500.00
161.00,5830841.47,41.94,0.00,0.00,29154207.33,125.81,5400.00,10800.00
162.00,6239000.37,42.31,0.00,0.00,31195001.85,126.94,5550.00,11100.00
163.00,6675730.40,42.69,0.00,0.00,33378651.98,128.08,5700.00,11400.00
164.00,7143031.52,43.08,0.00,0.00,35715157.62,129.24,5850.00,11700.00
165.00,7643043.73,43.47,0.00,0.00,38215218.65,130.40,6000.00,12000.00
166.00,8178056.79,43.86,0.00,0.00,40890283.95,131.57,6150.00,12300.00
167.00,8750520.77,44.25,0.00,0.00,43752603.83,132.76,6300.00,12600.00
168.00,9363057.22,44.65,0.00,0.00,46815286.10,133.95,6450.00,12900.00
169.00,10018471.23,45.05,0.00,0.00,50092356.13,135.16,6600.00,13200.00
170.00,10719764.21,45.46,0.00,0.00,53598821.06,136.37,6750.00,13500.00
171.00,11470147.71,45.87,0.00,0.00,57350738.53,137.60,6900.00,13800.00
172.00,12273058.05,46.28,0.00,0.00,61365290.23,138.84,7050.00,14100.00
173.00,13132172.11,46.70,0.00,0.00,65660860.54,140.09,7200.00,14400.00
174.00,14051424.16,47.12,0.00,0.00,70257120.78,141.35,7350.00,14700.00
175.00,15035023.85,47.54,0.00,0.00,112762678.85,142.62,7500.00,15000.00
176.00,16087475.52,47.97,0.00,0.00,80437377.58,143.90,7650.00,15300.00
177.00,17213598.80,48.40,0.00,0.00,86067994.01,145.20,15600.00,15600.00
178.00,18418550.72,48.84,0.00,0.00,92092753.59,146.51,15900.00,15900.00
179.00,19707849.27,49.28,0.00,0.00,98539246.34,147.83,16200.00,16200.00
180.00,21087398.72,49.72,0.00,0.00,105436993.59,149.16,16500.00,16500.00
181.00,24039634.54,50.17,0.00,0.00,120198172.69,150.50,16800.00,16800.00
182.00,25722408.96,50.62,0.00,0.00,128612044.78,151.85,17100.00,17100.00
183.00,27522977.58,51.07,0.00,0.00,137614887.91,153.22,17400.00,17400.00
184.00,29449586.01,51.53,0.00,0.00,147247930.07,154.60,17700.00,17700.00
185.00,31511057.03,52.00,0.00,0.00,157555285.17,155.99,18000.00,18000.00
186.00,33716831.03,52.46,0.00,0.00,168584155.14,157.39,18300.00,18300.00
187.00,36077009.20,52.94,0.00,0.00,180385045.99,158.81,18600.00,18600.00
188.00,38602399.84,53.41,0.00,0.00,193011999.21,160.24,18900.00,18900.00
189.00,41304567.83,53.89,0.00,0.00,206522839.16,161.68,19200.00,19200.00
190.00,44195887.58,54.38,0.00,0.00,220979437.90,163.14,19500.00,19500.00
191.00,50383311.84,54.87,0.00,0.00,251916559.21,164.60,19800.00,19800.00
192.00,53910143.67,55.36,0.00,0.00,269550718.35,166.09,20100.00,20100.00
193.00,57683853.73,55.86,0.00,0.00,288419268.64,167.58,20400.00,20400.00
194.00,61721723.49,56.36,0.00,0.00,308608617.44,169.09,20700.00,20700.00
195.00,66042244.13,56.87,0.00,0.00,330211220.66,170.61,21000.00,21000.00
196.00,70665201.22,57.38,0.00,0.00,353326006.11,172.15,21300.00,21300.00
197.00,75611765.31,57.90,0.00,0.00,378058826.53,173.70,21600.00,21600.00
198.00,80904588.88,58.42,0.00,0.00,404522944.39,175.26,21900.00,21900.00
199.00,86567910.10,58.95,0.00,0.00,432839550.50,176.84,22200.00,22200.00
200.00,92627663.81,59.48,0.00,0.00,694707478.55,178.43,22500.00,22500.00
201.00,109300643.29,60.01,0.00,0.00,546503216.46,180.03,22500.00,22500.00
202.00,116951688.32,60.55,0.00,0.00,584758441.61,181.65,22500.00,22500.00
203.00,125138306.51,61.10,0.00,0.00,625691532.53,183.29,22500.00,22500.00
204.00,133897987.96,61.65,0.00,0.00,669489939.80,184.94,22500.00,22500.00
205.00,143270847.12,62.20,0.00,0.00,716354235.59,186.60,22500.00,22500.00
206.00,153299806.42,62.76,0.00,0.00,766499032.08,188.28,22500.00,22500.00
207.00,164030792.86,63.33,0.00,0.00,820153964.32,189.98,22500.00,22500.00
208.00,175512948.37,63.90,0.00,0.00,877564741.83,191.69,22500.00,22500.00
209.00,187798854.75,64.47,0.00,0.00,938994273.76,193.41,22500.00,22500.00
210.00,200944774.58,65.05,0.00,0.00,1004723872.92,195.15,22500.00,22500.00
211.00,215010908.80,65.64,0.00,0.00,1075054544.02,196.91,22500.00,22500.00
212.00,230061672.42,66.23,0.00,0.00,1150308362.10,198.68,22500.00,22500.00
213.00,246165989.49,66.82,0.00,0.00,1230829947.45,200.47,22500.00,22500.00
214.00,263397608.75,67.42,0.00,0.00,1316988043.77,202.27,22500.00,22500.00
215.00,281835441.37,68.03,0.00,0.00,1409177206.84,204.09,22500.00,22500.00
216.00,301563922.26,68.64,0.00,0.00,1507819611.32,205.93,22500.00,22500.00
217.00,322673396.82,69.26,0.00,0.00,1613366984.11,207.78,22500.00,22500.00
218.00,345260534.60,69.88,0.00,0.00,1726302673.00,209.65,22500.00,22500.00
219.00,369428772.02,70.51,0.00,0.00,1847143860.11,211.54,22500.00,22500.00
220.00,395288786.06,71.15,0.00,0.00,1976443930.31,213.45,22500.00,22500.00
221.00,422959001.09,71.79,0.00,0.00,2114795005.43,215.37,22500.00,22500.00
222.00,452566131.16,72.43,0.00,0.00,2262830655.82,217.30,22500.00,22500.00
223.00,484245760.34,73.09,0.00,0.00,2421228801.72,219.26,22500.00,22500.00
224.00,518142963.57,73.74,0.00,0.00,2590714817.84,221.23,22500.00,22500.00
225.00,554412971.02,74.41,0.00,0.00,3326477826.11,223.22,22500.00,22500.00
226.00,593221878.99,75.08,0.00,0.00,2966109394.95,225.23,22800.00,22650.00
227.00,634747410.52,75.75,0.00,0.00,3173737052.59,227.26,23100.00,22800.00
228.00,679179729.26,76.44,0.00,0.00,3395898646.28,229.31,23400.00,22950.00
229.00,726722310.30,77.12,0.00,0.00,3633611551.52,231.37,23700.00,23100.00
230.00,777592872.02,77.82,0.00,0.00,3887964360.12,233.45,24000.00,23250.00
231.00,832024373.07,78.52,0.00,0.00,4160121865.33,235.55,24300.00,23400.00
232.00,890266079.18,79.22,0.00,0.00,4451330395.90,237.67,24600.00,23550.00
233.00,952584704.72,79.94,0.00,0.00,4762923523.62,239.81,24900.00,23700.00
234.00,1019265634.05,80.66,0.00,0.00,5096328170.27,241.97,25200.00,23850.00
235.00,1090614228.44,81.38,0.00,0.00,5453071142.19,244.15,25500.00,24000.00
236.00,1166957224.43,82.12,0.00,0.00,5834786122.14,246.35,25800.00,24150.00
237.00,1248644230.14,82.85,0.00,0.00,6243221150.69,248.56,26100.00,24300.00
238.00,1336049326.25,83.60,0.00,0.00,6680246631.24,250.80,26400.00,24450.00
239.00,1429572779.09,84.35,0.00,0.00,7147863895.43,253.06,26700.00,24600.00
240.00,1529642873.62,85.11,0.00,0.00,7648214368.11,255.33,27000.00,24750.00
241.00,1636717874.77,85.88,0.00,0.00,8183589373.87,257.63,27300.00,24900.00
242.00,1751288126.01,86.65,0.00,0.00,8756440630.05,259.95,27600.00,25050.00
243.00,1873878294.83,87.43,0.00,0.00,9369391474.15,262.29,27900.00,25200.00
244.00,2005049775.47,88.22,0.00,0.00,10025248877.34,264.65,28200.00,25350.00
245.00,2145403259.75,89.01,0.00,0.00,10727016298.75,267.03,28500.00,25500.00
246.00,2295581487.93,89.81,0.00,0.00,11477907439.67,269.44,28800.00,25650.00
247.00,2456272192.09,90.62,0.00,0.00,12281360960.44,271.86,29100.00,25800.00
248.00,2628211245.53,91.44,0.00,0.00,13141056227.67,274.31,29400.00,25950.00
249.00,2812186032.72,92.26,0.00,0.00,14060930163.61,276.78,29700.00,26100.00
250.00,3009039055.01,93.09,0.00,0.00,18054234330.08,279.27,30000.00,26250.00
251.00,3430304522.71,93.93,0.00,0.00,17151522613.57,281.78,30300.00,26400.00
252.00,3670425839.30,94.77,0.00,0.00,18352129196.52,284.32,26550.00,30600.00
253.00,3927355648.06,95.63,0.00,0.00,19636778240.28,286.88,26700.00,30900.00
254.00,4202270543.42,96.49,0.00,0.00,21011352717.10,289.46,26850.00,31200.00
255.00,4496429481.46,97.35,0.00,0.00,22482147407.30,292.06,27000.00,31500.00
256.00,4811179545.16,98.23,0.00,0.00,24055897725.81,294.69,27150.00,31800.00
257.00,5147962113.32,99.11,0.00,0.00,25739810566.61,297.34,27300.00,32100.00
258.00,5508319461.26,100.01,0.00,0.00,27541597306.28,300.02,27450.00,32400.00
259.00,5893901823.54,100.91,0.00,0.00,29469509117.71,302.72,27600.00,32700.00
260.00,6306474951.19,101.82,0.00,0.00,31532374755.95,305.45,27750.00,33000.00
261.00,6747928197.77,102.73,0.00,0.00,33739640988.87,308.19,27900.00,33300.00
262.00,7220283171.62,103.66,0.00,0.00,36101415858.09,310.97,28050.00,33600.00
263.00,7725702993.63,104.59,0.00,0.00,38628514968.16,313.77,28200.00,33900.00
264.00,8266502203.19,105.53,0.00,0.00,41332511015.93,316.59,28350.00,34200.00
265.00,8845157357.41,106.48,0.00,0.00,44225786787.05,319.44,28500.00,34500.00
266.00,9464318372.43,107.44,0.00,0.00,47321591862.14,322.31,28650.00,34800.00
267.00,10126820658.50,108.41,0.00,0.00,50634103292.49,325.22,28800.00,35100.00
268.00,10835698104.59,109.38,0.00,0.00,54178490522.96,328.14,28950.00,35400.00
269.00,11594196971.91,110.37,0.00,0.00,57970984859.57,331.10,29100.00,35700.00
270.00,12405790759.95,111.36,0.00,0.00,62028953799.74,334.08,29250.00,36000.00
271.00,13274196113.14,112.36,0.00,0.00,66370980565.72,337.08,29400.00,36300.00
272.00,14203389841.06,113.37,0.00,0.00,71016949205.32,340.12,29550.00,36600.00
273.00,15197627129.94,114.39,0.00,0.00,75988135649.69,343.18,29700.00,36900.00
274.00,16261461029.03,115.42,0.00,0.00,81307305145.17,346.27,29850.00,37200.00
275.00,17399763301.07,116.46,0.00,0.00,130498224758.00,349.38,30000.00,37500.00
276.00,18617746732.14,117.51,0.00,0.00,93088733660.71,352.53,30150.00,37800.00
277.00,19920989003.39,118.57,0.00,0.00,99604945016.96,355.70,38100.00,38100.00
278.00,21315458233.63,119.63,0.00,0.00,106577291168.15,358.90,38400.00,38400.00
279.00,22807540309.98,120.71,0.00,0.00,114037701549.92,362.13,38700.00,38700.00
280.00,24404068131.68,121.80,0.00,0.00,122020340658.41,365.39,39000.00,39000.00
281.00,27820637670.12,122.89,0.00,0.00,139103188350.59,368.68,39300.00,39300.00
282.00,29768082307.03,124.00,0.00,0.00,148840411535.13,372.00,39600.00,39600.00
283.00,31851848068.52,125.11,0.00,0.00,159259240342.59,375.34,39900.00,39900.00
284.00,34081477433.31,126.24,0.00,0.00,170407387166.57,378.72,40200.00,40200.00
285.00,36467180853.65,127.38,0.00,0.00,182335904268.23,382.13,40500.00,40500.00
286.00,39019883513.40,128.52,0.00,0.00,195099417567.01,385.57,40800.00,40800.00
287.00,41751275359.34,129.68,0.00,0.00,208756376796.70,389.04,41100.00,41100.00
288.00,44673864634.49,130.85,0.00,0.00,223369323172.46,392.54,41400.00,41400.00
289.00,47801035158.91,132.02,0.00,0.00,239005175794.54,396.07,41700.00,41700.00
290.00,51147107620.03,133.21,0.00,0.00,255735538100.15,399.64,42000.00,42000.00
291.00,58307702686.84,134.41,0.00,0.00,291538513434.18,403.24,42300.00,42300.00
292.00,62389241874.91,135.62,0.00,0.00,311946209374.57,406.87,42600.00,42600.00
293.00,66756488806.16,136.84,0.00,0.00,333782444030.79,410.53,42900.00,42900.00
294.00,71429443022.59,138.07,0.00,0.00,357147215112.94,414.22,43200.00,43200.00
295.00,76429504034.17,139.32,0.00,0.00,382147520170.85,417.95,43500.00,43500.00
296.00,81779569316.56,140.57,0.00,0.00,408897846582.81,421.71,43800.00,43800.00
297.00,87504139168.72,141.84,0.00,0.00,437520695843.61,425.51,44100.00,44100.00
298.00,93629428910.53,143.11,0.00,0.00,468147144552.66,429.34,44400.00,44400.00
299.00,100183488934.27,144.40,0.00,0.00,500917444671.34,433.20,44700.00,44700.00
300.00,107196333159.67,145.70,0.00,0.00,803972498697.51,437.10,45000.00,45000.00
301.00,126491673128.41,147.01,0.00,0.00,632458365642.04,441.03,45000.00,45000.00
302.00,135346090247.40,148.33,0.00,0.00,676730451236.98,445.00,45000.00,45000.00
303.00,144820316564.71,149.67,0.00,0.00,724101582823.57,449.01,45000.00,45000.00
304.00,154957738724.24,151.02,0.00,0.00,774788693621.22,453.05,45000.00,45000.00
305.00,165804780434.94,152.38,0.00,0.00,829023902174.70,457.13,45000.00,45000.00
306.00,177411115065.39,153.75,0.00,0.00,887055575326.93,461.24,45000.00,45000.00
307.00,189829893119.96,155.13,0.00,0.00,949149465599.82,465.39,45000.00,45000.00
308.00,203117985638.36,156.53,0.00,0.00,1015589928191.81,469.58,45000.00,45000.00
309.00,217336244633.05,157.94,0.00,0.00,1086681223165.23,473.81,45000.00,45000.00
310.00,232549781757.36,159.36,0.00,0.00,1162748908786.80,478.07,45000.00,45000.00
311.00,248828266480.38,160.79,0.00,0.00,1244141332401.88,482.37,45000.00,45000.00
312.00,266246245134.00,162.24,0.00,0.00,1331231225670.01,486.71,45000.00,45000.00
313.00,284883482293.38,163.70,0.00,0.00,1424417411466.91,491.09,45000.00,45000.00
314.00,304825326053.92,165.17,0.00,0.00,1524126630269.59,495.51,45000.00,45000.00
315.00,326163098877.69,166.66,0.00,0.00,1630815494388.46,499.97,45000.00,45000.00
316.00,348994515799.13,168.16,0.00,0.00,1744972578995.65,504.47,45000.00,45000.00
317.00,373424131905.07,169.67,0.00,0.00,1867120659525.35,509.01,45000.00,45000.00
318.00,399563821138.43,171.20,0.00,0.00,1997819105692.13,513.60,45000.00,45000.00
319.00,427533288618.12,172.74,0.00,0.00,2137666443090.57,518.22,45000.00,45000.00
320.00,457460618821.38,174.29,0.00,0.00,2287303094106.91,522.88,45000.00,45000.00
321.00,489482862138.88,175.86,0.00,0.00,2447414310694.40,527.59,45000.00,45000.00
322.00,523746662488.60,177.45,0.00,0.00,2618733312443.01,532.34,45000.00,45000.00
323.00,560408928862.80,179.04,0.00,0.00,2802044644314.02,537.13,45000.00,45000.00
324.00,599637553883.20,180.65,0.00,0.00,2998187769416.00,541.96,45000.00,45000.00
325.00,641612182655.02,182.28,0.00,0.00,3849673095930.14,546.84,45000.00,45000.00
326.00,686525035440.88,183.92,0.00,0.00,3432625177204.38,551.76,45300.00,45150.00
327.00,734581787921.74,185.58,0.00,0.00,3672908939608.68,556.73,45600.00,45300.00
328.00,786002513076.26,187.25,0.00,0.00,3930012565381.29,561.74,45900.00,45450.00
329.00,841022688991.60,188.93,0.00,0.00,4205113444957.98,566.79,46200.00,45600.00
330.00,899894277221.01,190.63,0.00,0.00,4499471386105.04,571.89,46500.00,45750.00
331.00,962886876626.48,192.35,0.00,0.00,4814434383132.39,577.04,46800.00,45900.00
332.00,1030288957990.33,194.08,0.00,0.00,5151444789951.66,582.23,47100.00,46050.00
