 스테이지|일반 몬스터 체력|일반 몬스터 공격력|일반 몬스터 외공 방어력|일반 몬스터 내공 방어력|보스 몬스터 체력|보스 몬스터 공격력|보스 몬스터 외공 방어력|보스 몬스터 내공 방어력
137|599414.15|6.76|0.00|0.00|8860447.34|20.29|3600.00|1800.00
138|641373.14|6.83|0.00|0.00|9502270.48|20.48|3900.00|1950.00
139|686269.26|6.89|0.00|0.00|10188989.74|20.66|4200.00|2100.00
140|734308.11|6.95|0.00|0.00|10923747.85|20.85|4500.00|2250.00
141|785709.68|7.01|0.00|0.00|11709907.52|21.03|4800.00|2400.00
142|840709.35|7.07|0.00|0.00|12551066.88|21.22|5100.00|2550.00
143|899559.01|7.14|0.00|0.00|13451075.88|21.41|5400.00|2700.00
144|962528.14|7.20|0.00|0.00|14414054.02|21.61|5700.00|2850.00
145|1029905.11|7.27|0.00|0.00|15444409.13|21.80|6000.00|3000.00
146|1101998.47|7.33|0.00|0.00|16546857.59|22.00|6300.00|3150.00
147|1179138.36|7.40|0.00|0.00|17726445.95|22.20|6600.00|3300.00
148|1261678.04|7.47|0.00|0.00|18988573.99|22.40|6900.00|3450.00
149|1349995.51|7.53|0.00|0.00|20339019.50|22.60|7200.00|3600.00
150|1444495.19|7.60|0.00|0.00|24834817.62|22.80|7500.00|3750.00
151|1646724.52|7.67|0.00|0.00|21986194.02|23.01|4050.00|7650.00
152|1761995.23|7.74|0.00|0.00|23748639.25|23.21|4350.00|7800.00
153|1885334.90|7.81|0.00|0.00|25634424.15|23.42|4650.00|7950.00
154|2017308.34|7.88|0.00|0.00|27652182.50|23.63|4950.00|8100.00
155|2158519.93|7.95|0.00|0.00|29811152.42|23.84|5250.00|8250.00
156|2309616.32|8.02|0.00|0.00|32121218.75|24.06|5550.00|8400.00
157|2471289.47|8.09|0.00|0.00|34592958.21|24.28|5850.00|8550.00
158|2644279.73|8.16|0.00|0.00|37237687.94|24.49|6150.00|8700.00
159|2829379.31|8.24|0.00|0.00|40067517.25|24.71|6450.00|8850.00
160|3027435.86|8.31|0.00|0.00|43095403.11|24.94|6750.00|9000.00
161|3239356.37|8.39|0.00|0.00|46335209.48|25.16|7050.00|9150.00
162|3466111.32|8.46|0.00|0.00|49801770.80|25.39|7350.00|9300.00
163|3708739.11|8.54|0.00|0.00|53510959.90|25.62|7650.00|9450.00
164|3968350.85|8.62|0.00|0.00|57479760.75|25.85|7950.00|9600.00
165|4246135.41|8.69|0.00|0.00|61726346.16|26.08|8250.00|9750.00
166|4543364.88|8.77|0.00|0.00|66270161.04|26.31|8550.00|9900.00
167|4861400.43|8.85|0.00|0.00|71132011.47|26.55|8850.00|10050.00
168|5201698.46|8.93|0.00|0.00|76334159.92|26.79|9150.00|10200.00
169|5565817.35|9.01|0.00|0.00|81900427.27|27.03|9450.00|10350.00
170|5955424.56|9.09|0.00|0.00|87856301.83|27.27|9750.00|10500.00
171|6372304.28|9.17|0.00|0.00|94229056.11|27.52|10050.00|10650.00
172|6818365.58|9.26|0.00|0.00|101047871.69|27.77|10350.00|10800.00
173|7295651.17|9.34|0.00|0.00|108343972.86|28.02|10650.00|10950.00
174|7806346.75|9.42|0.00|0.00|116150769.62|28.27|10950.00|11100.00
175|8352791.03|9.51|0.00|0.00|165156780.01|28.52|11250.00|11250.00
176|8937486.40|9.59|0.00|0.00|125088706.02|28.78|11550.00|11550.00
177|9563110.45|9.68|0.00|0.00|134652266.46|29.04|11850.00|11850.00
178|10232528.18|9.77|0.00|0.00|144885244.64|29.30|12150.00|12150.00
179|10948805.15|9.86|0.00|0.00|155834499.79|29.57|12450.00|12450.00
180|11715221.51|9.94|0.00|0.00|167550171.30|29.83|12750.00|12750.00
181|13355352.52|10.03|0.00|0.00|180905973.82|30.10|13050.00|13050.00
182|14290227.20|10.12|0.00|0.00|195196651.02|30.37|13350.00|13350.00
183|15290543.10|10.21|0.00|0.00|210487644.12|30.64|13650.00|13650.00
184|16360881.12|10.31|0.00|0.00|226848975.24|30.92|13950.00|13950.00
185|17506142.80|10.40|0.00|0.00|244355568.03|31.20|14250.00|14250.00
186|18731572.79|10.49|0.00|0.00|263087590.83|31.48|14550.00|14550.00
187|20042782.89|10.59|0.00|0.00|283130823.71|31.76|14850.00|14850.00
188|21445777.69|10.68|0.00|0.00|304577051.40|32.05|15150.00|15150.00
189|22946982.13|10.78|0.00|0.00|327524483.53|32.34|15450.00|15450.00
190|24553270.88|10.88|0.00|0.00|352078204.41|32.63|15750.00|15750.00
191|27990728.80|10.97|0.00|0.00|380069383.21|32.92|16050.00|16050.00
192|29950079.82|11.07|0.00|0.00|410019913.03|33.22|16350.00|16350.00
193|32046585.40|11.17|0.00|0.00|442066948.43|33.52|16650.00|16650.00
194|34289846.38|11.27|0.00|0.00|476357244.82|33.82|16950.00|16950.00
195|36690135.63|11.37|0.00|0.00|513047830.44|34.12|17250.00|17250.00
196|39258445.12|11.48|0.00|0.00|552306725.57|34.43|17550.00|17550.00
197|42006536.28|11.58|0.00|0.00|594313711.85|34.74|17850.00|17850.00
198|44946993.82|11.68|0.00|0.00|639261155.67|35.05|18150.00|18150.00
199|48093283.39|11.79|0.00|0.00|687354889.06|35.37|18450.00|18450.00
200|51459813.23|11.90|0.00|0.00|979389363.46|35.69|18750.00|18750.00
201|60722579.61|12.00|0.00|0.00|748077918.67|36.01|18750.00|18750.00
202|64973160.18|12.11|0.00|0.00|813051528.84|36.33|18750.00|18750.00
203|69521281.39|12.22|0.00|0.00|882573260.24|36.66|18750.00|18750.00
204|74387771.09|12.33|0.00|0.00|956961481.33|36.99|18750.00|18750.00
205|79594915.07|12.44|0.00|0.00|1036556846.39|37.32|18750.00|18750.00
206|85166559.12|12.55|0.00|0.00|1121723855.51|37.66|18750.00|18750.00
207|91128218.26|12.67|0.00|0.00|1212852523.77|38.00|18750.00|18750.00
208|97507193.54|12.78|0.00|0.00|1310360167.31|38.34|18750.00|18750.00
209|104332697.08|12.89|0.00|0.00|1414693314.39|38.68|18750.00|18750.00
210|111635985.88|13.01|0.00|0.00|1526329750.27|39.03|18750.00|18750.00
211|119450504.89|13.13|0.00|0.00|1645780705.16|39.38|18750.00|18750.00
212|127812040.23|13.25|0.00|0.00|1773593195.39|39.74|18750.00|18750.00
213|136758883.05|13.36|0.00|0.00|1910352528.44|40.09|18750.00|18750.00
214|146332004.86|13.48|0.00|0.00|2056684983.31|40.45|18750.00|18750.00
215|156575245.20|13.61|0.00|0.00|2213260678.51|40.82|18750.00|18750.00
216|167535512.37|13.73|0.00|0.00|2380796640.88|41.19|18750.00|18750.00
217|179262998.23|13.85|0.00|0.00|2560060089.12|41.56|18750.00|18750.00
218|191811408.11|13.98|0.00|0.00|2751871947.23|41.93|18750.00|18750.00
219|205238206.68|14.10|0.00|0.00|2957110603.90|42.31|18750.00|18750.00
220|219604881.15|14.23|0.00|0.00|3176715935.05|42.69|18750.00|18750.00
221|234977222.83|14.36|0.00|0.00|3411693607.88|43.07|18750.00|18750.00
222|251425628.42|14.49|0.00|0.00|3663119686.30|43.46|18750.00|18750.00
223|269025422.41|14.62|0.00|0.00|3932145558.71|43.85|18750.00|18750.00
224|287857201.98|14.75|0.00|0.00|4220003210.70|44.25|18750.00|18750.00
225|308007206.12|14.88|0.00|0.00|5161011348.42|44.64|18750.00|18750.00
226|329567710.55|15.02|0.00|0.00|4549571371.25|45.05|19050.00|18900.00
227|352637450.29|15.15|0.00|0.00|4902209271.53|45.45|19350.00|19050.00
228|377322071.81|15.29|0.00|0.00|5279531793.34|45.86|19650.00|19200.00
229|403734616.84|15.42|0.00|0.00|5683266860.18|46.27|19950.00|19350.00
230|431996040.01|15.56|0.00|0.00|6115263350.19|46.69|20250.00|19500.00
231|462235762.81|15.70|0.00|0.00|6577499563.01|47.11|20550.00|19650.00
232|494592266.21|15.84|0.00|0.00|7072092279.22|47.53|20850.00|19800.00
233|529213724.85|15.99|0.00|0.00|7601306454.06|47.96|21150.00|19950.00
234|566258685.59|16.13|0.00|0.00|8167565589.65|48.39|21450.00|20100.00
235|605896793.58|16.28|0.00|0.00|8773462833.23|48.83|21750.00|20250.00
236|648309569.13|16.42|0.00|0.00|9421772852.35|49.27|22050.00|20400.00
237|693691238.97|16.57|0.00|0.00|10115464541.32|49.71|22350.00|20550.00
238|742249625.69|16.72|0.00|0.00|10857714617.01|50.16|22650.00|20700.00
239|794207099.49|16.87|0.00|0.00|11651922166.50|50.61|22950.00|20850.00
240|849801596.46|17.02|0.00|0.00|12501724212.96|51.07|23250.00|21000.00
241|909287708.21|17.18|0.00|0.00|13411012371.17|51.53|23550.00|21150.00
242|972937847.78|17.33|0.00|0.00|14383950668.95|51.99|23850.00|21300.00
243|1041043497.13|17.49|0.00|0.00|15424994616.08|52.46|24150.00|21450.00
244|1113916541.93|17.64|0.00|0.00|16538911608.01|52.93|24450.00|21600.00
245|1191890699.86|17.80|0.00|0.00|17730802757.87|53.41|24750.00|21750.00
246|1275323048.85|17.96|0.00|0.00|19006126256.72|53.89|25050.00|21900.00
247|1364595662.27|18.12|0.00|0.00|20370722368.99|54.37|25350.00|22050.00
248|1460117358.63|18.29|0.00|0.00|21830840177.62|54.86|25650.00|22200.00
249|1562325573.73|18.45|0.00|0.00|23393166201.36|55.36|25950.00|22350.00
250|1671688363.90|18.62|0.00|0.00|28573829945.45|55.85|26250.00|22500.00
251|1905724734.84|18.79|0.00|0.00|25298891386.20|56.36|22800.00|26400.00
252|2039125466.28|18.95|0.00|0.00|27338017302.48|56.86|23100.00|26550.00
253|2181864248.92|19.13|0.00|0.00|29519882001.40|57.38|23400.00|26700.00
254|2334594746.34|19.30|0.00|0.00|31854477197.74|57.89|23700.00|26850.00
255|2498016378.59|19.47|0.00|0.00|34352494026.33|58.41|24000.00|27000.00
256|2672877525.09|19.65|0.00|0.00|37025372001.42|58.94|24300.00|27150.00
257|2859978951.85|19.82|0.00|0.00|39885351403.27|59.47|24600.00|27300.00
258|3060177478.48|20.00|0.00|0.00|42945529331.74|60.00|24900.00|27450.00
259|3274389901.97|20.18|0.00|0.00|46219919683.71|60.54|25200.00|27600.00
260|3503597195.11|20.36|0.00|0.00|49723517328.81|61.09|25500.00|27750.00
261|3748848998.76|20.55|0.00|0.00|53472366777.58|61.64|25800.00|27900.00
262|4011268428.68|20.73|0.00|0.00|57483635656.26|62.19|26100.00|28050.00
263|4292057218.68|20.92|0.00|0.00|61775693324.94|62.75|26400.00|28200.00
264|4592501223.99|21.11|0.00|0.00|66368194998.93|63.32|26700.00|28350.00
265|4913976309.67|21.30|0.00|0.00|71282171758.60|63.89|27000.00|28500.00
266|5257954651.35|21.49|0.00|0.00|76540126859.95|64.46|27300.00|28650.00
267|5626011476.94|21.68|0.00|0.00|82166138786.90|65.04|27600.00|28800.00
268|6019832280.33|21.88|0.00|0.00|88185971517.22|65.63|27900.00|28950.00
269|6441220539.95|22.07|0.00|0.00|94627192507.18|66.22|28200.00|29100.00
270|6892105977.75|22.27|0.00|0.00|101519298934.93|66.82|28500.00|29250.00
271|7374553396.19|22.47|0.00|0.00|108893852781.12|67.42|28800.00|29400.00
272|7890772133.92|22.67|0.00|0.00|116784625365.04|68.02|29100.00|29550.00
273|8443126183.30|22.88|0.00|0.00|125227751998.34|68.64|29400.00|29700.00
274|9034145016.13|23.08|0.00|0.00|134261897464.47|69.25|29700.00|29850.00
275|9666535167.26|23.29|0.00|0.00|190920097194.30|69.88|30000.00|30000.00
276|10343192628.97|23.50|0.00|0.00|144605090543.44|70.51|30300.00|30300.00
277|11067216113.00|23.71|0.00|0.00|155672307106.43|71.14|30600.00|30600.00
278|11841921240.91|23.93|0.00|0.00|167514228797.34|71.78|30900.00|30900.00
279|12670855727.77|24.14|0.00|0.00|180185084975.11|72.43|31200.00|31200.00
280|13557815628.71|24.36|0.00|0.00|193742901053.82|73.08|31500.00|31500.00
281|15455909816.73|24.58|0.00|0.00|209198811320.55|73.74|31800.00|31800.00
282|16537823503.90|24.80|0.00|0.00|225736635274.46|74.40|32100.00|32100.00
283|17695471149.18|25.02|0.00|0.00|243432106873.63|75.07|32400.00|32400.00
284|18934154129.62|25.25|0.00|0.00|262366261453.25|75.74|32700.00|32700.00
285|20259544918.69|25.48|0.00|0.00|282625806821.94|76.43|33000.00|33000.00
286|21677713063.00|25.70|0.00|0.00|304303520334.94|77.11|33300.00|33300.00
287|23195152977.41|25.94|0.00|0.00|327498673762.35|77.81|33600.00|33600.00
288|24818813685.83|26.17|0.00|0.00|352317487898.18|78.51|33900.00|33900.00
289|26556130643.84|26.40|0.00|0.00|378873618992.02|79.21|34200.00|34200.00
290|28415059788.91|26.64|0.00|0.00|407288679230.93|79.93|34500.00|34500.00
291|32393168159.35|26.88|0.00|0.00|439681847840.28|80.65|34800.00|34800.00
292|34660689930.51|27.12|0.00|0.00|474342538220.79|81.37|35100.00|35100.00
293|37086938225.64|27.37|0.00|0.00|511429476896.43|82.11|35400.00|35400.00
294|39683023901.44|27.61|0.00|0.00|551112501247.87|82.84|35700.00|35700.00
295|42460835574.54|27.86|0.00|0.00|593573337272.41|83.59|36000.00|36000.00
296|45433094064.76|28.11|0.00|0.00|639006431787.16|84.34|36300.00|36300.00
297|48613410649.29|28.37|0.00|0.00|687619842886.45|85.10|36600.00|36600.00
298|52016349394.74|28.62|0.00|0.00|739636192731.19|85.87|36900.00|36900.00
299|55657493852.37|28.88|0.00|0.00|795293687033.56|86.64|37200.00|37200.00
300|59553518422.04|29.14|0.00|0.00|1133199996367.35|87.42|37500.00|37500.00
301|70273151738.00|29.40|0.00|0.00|865566839221.57|88.21|37500.00|37500.00
302|75192272359.66|29.67|0.00|0.00|940759112031.23|89.00|37500.00|37500.00
303|80455731424.84|29.93|0.00|0.00|1021214843906.07|89.80|37500.00|37500.00
304|86087632624.58|30.20|0.00|0.00|1107302476980.65|90.61|37500.00|37500.00
305|92113766908.30|30.48|0.00|0.00|1199416244338.95|91.43|37500.00|37500.00
306|98561730591.88|30.75|0.00|0.00|1297977975380.83|92.25|37500.00|37500.00
307|105461051733.31|31.03|0.00|0.00|1403439027564.15|93.08|37500.00|37500.00
308|112843325354.65|31.31|0.00|0.00|1516282353368.79|93.92|37500.00|37500.00
309|120742358129.47|31.59|0.00|0.00|1637024711948.26|94.76|37500.00|37500.00
310|129194323198.53|31.87|0.00|0.00|1766219035596.80|95.61|37500.00|37500.00
311|138237925822.43|32.16|0.00|0.00|1904456961869.23|96.47|37500.00|37500.00
312|147914580630.00|32.45|0.00|0.00|2052371542949.23|97.34|37500.00|37500.00
313|158268601274.10|32.74|0.00|0.00|2210640144673.33|98.22|37500.00|37500.00
314|169347403363.29|33.03|0.00|0.00|2379987548486.62|99.10|37500.00|37500.00
315|181201721598.72|33.33|0.00|0.00|2561189270535.33|99.99|37500.00|37500.00
316|193885842110.63|33.63|0.00|0.00|2755075113095.96|100.89|37500.00|37500.00
317|207457851058.37|33.93|0.00|0.00|2962532964604.33|101.80|37500.00|37500.00
318|221979900632.46|34.24|0.00|0.00|3184512865686.79|102.72|37500.00|37500.00
319|237518493676.73|34.55|0.00|0.00|3422031359813.52|103.64|37500.00|37500.00
320|254144788234.10|34.86|0.00|0.00|3676176148497.62|104.58|37500.00|37500.00
321|271934923410.49|35.17|0.00|0.00|3948111072358.11|105.52|37500.00|37500.00
322|290970368049.22|35.49|0.00|0.00|4239081440857.33|106.47|37500.00|37500.00
323|311338293812.67|35.81|0.00|0.00|4550419735120.00|107.43|37500.00|37500.00
324|333131974379.56|36.13|0.00|0.00|4883551709949.56|108.39|37500.00|37500.00
325|356451212586.12|36.46|0.00|0.00|5972535679478.11|109.37|37500.00|37500.00
326|381402797467.15|36.78|0.00|0.00|5264954507866.71|110.35|37800.00|37650.00
327|408100993289.85|37.12|0.00|0.00|5673055501606.56|111.35|38100.00|37800.00
328|436668062820.14|37.45|0.00|0.00|6109723564876.71|112.35|38400.00|37950.00
329|467234827217.55|37.79|0.00|0.00|6576958392544.26|113.36|38700.00|38100.00
330|499941265122.78|38.13|0.00|0.00|7076899658117.04|114.38|39000.00|38250.00
331|534937153681.38|38.47|0.00|0.00|7611836812248.42|115.41|39300.00|38400.00
332|572382754439.07|38.82|0.00|0.00|8184219567137.49|116.45|39600.00|38550.00
333|612449547249.81|39.16|0.00|0.00|8796669114837.30|117.49|39900.00|38700.00
334|655321015557.30|39.52|0.00|0.00|9451990130844.59|118.55|40200.00|38850.00
335|701193486646.31|39.87|0.00|0.00|10153183617940.90|119.62|40500.00|39000.00
336|750277030711.55|40.23|0.00|0.00|10903460649102.40|120.70|40800.00|39150.00
337|802796422861.36|40.59|0.00|0.00|11706257072413.80|121.78|41100.00|39300.00
338|858992172461.65|40.96|0.00|0.00|12565249245325.50|122.88|41400.00|39450.00
339|919121624533.97|41.33|0.00|0.00|13484370870309.40|123.98|41700.00|39600.00
340|983460138251.34|41.70|0.00|0.00|14467831009010.80|125.10|42000.00|39750.00
341|1052302347928.94|42.08|0.00|0.00|15520133357389.70|126.23|42300.00|39900.00
342|1125963512283.96|42.45|0.00|0.00|16646096870123.70|127.36|42600.00|40050.00
343|1204780958143.84|42.84|0.00|0.00|17850877828717.50|128.51|42900.00|40200.00
344|1289115625213.91|43.22|0.00|0.00|19139993454381.40|129.66|43200.00|40350.00
345|1379353718978.88|43.61|0.00|0.00|20519347173810.30|130.83|43500.00|40500.00
346|1475908479307.41|44.00|0.00|0.00|21995255653567.70|132.01|43800.00|40650.00
347|1579222072858.92|44.40|0.00|0.00|23574477726876.60|133.20|44100.00|40800.00
348|1689767617959.05|44.80|0.00|0.00|25264245345285.70|134.40|44400.00|40950.00
