 Stage|계산용|계산용|계산용|Offline_Gold|Offline_Spirit|Offline_Exp|Offline_Spiritstone|Offline_Equipment_Summon_Ticket|Offline_Hero_Summon_Ticket
59|35.88|53.82|495.14|1061.02|700.28|501.50|0|0|0.2
60|37.08|55.62|511.70|1096.51|723.70|510.00|0|0|0.2
61|38.30|57.45|528.54|1132.59|747.51|518.50|0|0|0.2
62|39.54|59.31|545.65|1169.25|771.71|527.00|0|0|0.2
63|40.80|61.20|563.04|1206.51|796.30|535.50|0|0|0.2
64|42.08|63.12|580.70|1244.37|821.28|544.00|0|0|0.2
65|43.38|65.07|598.64|1282.81|846.65|552.50|0|0|0.2
66|44.70|67.05|616.86|1321.84|872.42|561.00|0|0|0.2
67|46.04|69.06|635.35|1361.47|898.57|569.50|0|0|0.2
68|47.40|71.10|654.12|1401.69|925.11|578.00|0|0|0.2
69|48.78|73.17|673.16|1442.49|952.05|586.50|0|0|0.2
70|50.18|75.27|692.48|1483.89|979.37|595.00|0|0|0.2
71|51.60|77.40|712.08|1525.89|1007.08|603.50|0|0|0.2
72|53.04|79.56|731.95|1568.47|1035.19|612.00|0|0|0.2
73|54.50|81.75|752.10|1611.64|1063.68|620.50|0|0|0.2
74|55.98|83.97|772.52|1655.41|1092.57|629.00|0|0|0.2
75|57.48|86.22|793.22|1699.77|1121.85|637.50|0|0|0.2
76|59.00|88.50|814.20|1744.71|1151.51|646.00|0|0|0.2
77|60.54|90.81|835.45|1790.25|1181.57|654.50|0|0|0.2
78|62.10|93.15|856.98|1836.39|1212.01|663.00|0|0|0.2
79|63.68|95.52|878.78|1883.11|1242.85|671.50|0|0|0.2
80|65.28|97.92|900.86|1930.42|1274.08|680.00|0|0|0.2
81|66.90|100.35|923.22|1978.33|1305.70|688.50|0|0|0.2
82|68.54|102.81|945.85|2026.83|1337.70|697.00|0|0|0.2
83|70.20|105.30|968.76|2075.91|1370.10|705.50|0|0|0.2
84|71.88|107.82|991.94|2125.59|1402.89|714.00|0|0|0.2
85|73.58|110.37|1015.40|2175.87|1436.07|722.50|0|0|0.2
86|75.30|112.95|1039.14|2226.73|1469.64|731.00|0|0|0.2
87|77.04|115.56|1063.15|2278.18|1503.60|739.50|0|0|0.2
88|78.80|118.20|1087.44|2330.23|1537.95|748.00|0|0|0.2
89|80.58|120.87|1112.00|2382.87|1572.69|756.50|0|0|0.2
90|82.38|123.57|1136.84|2436.09|1607.82|765.00|0|0|0.2
91|84.20|126.30|1161.96|2489.91|1643.34|773.50|0|0|0.2
92|86.04|129.06|1187.35|2544.33|1679.25|782.00|0|0|0.2
93|87.90|131.85|1213.02|2599.33|1715.56|790.50|0|0|0.2
94|89.78|134.67|1238.96|2654.92|1752.25|799.00|0|0|0.2
95|91.68|137.52|1265.18|2711.11|1789.33|807.50|0|0|0.2
96|93.60|140.40|1291.68|2767.89|1826.80|816.00|0|0|0.2
97|95.54|143.31|1318.45|2825.25|1864.67|824.50|0|0|0.2
98|97.50|146.25|1345.50|2883.21|1902.92|833.00|0|0|0.2
99|99.48|149.22|1372.82|2941.77|1941.57|841.50|0|0|0.2
100|101.48|152.22|1400.42|3000.91|1980.60|850.00|0|0|0.2
101|103.50|155.25|1428.30|3060.64|2020.02|858.50|10|0|0.2
102|105.54|158.31|1456.45|3120.97|2059.84|867.00|10|0|0.2
103|107.60|161.40|1484.88|3181.89|2100.04|875.50|20|0|0.2
104|109.68|164.52|1513.58|3243.39|2140.64|884.00|20|0|0.2
105|111.78|167.67|1542.56|3305.49|2181.63|892.50|20|0|0.2
106|113.90|170.85|1571.82|3368.19|2223.00|901.00|20|0|0.2
107|116.04|174.06|1601.35|3431.47|2264.77|909.50|20|0|0.2
108|118.20|177.30|1631.16|3495.34|2306.93|918.00|20|0|0.2
109|120.38|180.57|1661.24|3559.81|2349.47|926.50|20|0|0.2
110|122.58|183.87|1691.60|3624.87|2392.41|935.00|20|0|0.2
111|124.80|187.20|1722.24|3690.51|2435.74|943.50|20|0|0.2
112|127.04|190.56|1753.15|3756.75|2479.46|952.00|20|0|0.2
113|129.30|193.95|1784.34|3823.59|2523.57|960.50|20|0|0.2
114|131.58|197.37|1815.80|3891.01|2568.07|969.00|20|0|0.2
115|133.88|200.82|1847.54|3959.02|2612.96|977.50|20|0|0.2
116|136.20|204.30|1879.56|4027.63|2658.23|986.00|20|0|0.2
117|138.54|207.81|1911.85|4096.83|2703.90|994.50|20|0|0.2
118|140.90|211.35|1944.42|4166.61|2749.97|1003.00|20|0|0.2
119|143.28|214.92|1977.26|4236.99|2796.42|1011.50|20|0|0.2
120|145.68|218.52|2010.38|4307.97|2843.26|1020.00|20|0|0.2
121|148.10|222.15|2043.78|4379.53|2890.49|1028.50|20|0|0.2
122|150.54|225.81|2077.45|4451.68|2938.11|1037.00|20|0|0.2
123|153.00|229.50|2111.40|4524.43|2986.12|1045.50|20|0|0.2
124|155.48|233.22|2145.62|4597.77|3034.53|1054.00|20|0|0.2
125|157.98|236.97|2180.12|4671.69|3083.32|1062.50|20|0|0.2
126|160.50|240.75|2214.90|4746.21|3132.50|1071.00|20|0|0.2
127|163.04|244.56|2249.95|4821.33|3182.07|1079.50|20|0|0.2
128|165.60|248.40|2285.28|4897.03|3232.04|1088.00|20|0|0.2
129|168.18|252.27|2320.88|4973.32|3282.39|1096.50|20|0|0.2
130|170.78|256.17|2356.76|5050.21|3333.14|1105.00|20|0|0.2
131|173.40|260.10|2392.92|5127.69|3384.27|1113.50|20|0|0.2
132|176.04|264.06|2429.35|5205.75|3435.80|1122.00|20|0|0.2
133|178.70|268.05|2466.06|5284.41|3487.71|1130.50|20|0|0.2
134|181.38|272.07|2503.04|5363.67|3540.02|1139.00|20|0|0.2
135|184.08|276.12|2540.30|5443.51|3592.72|1147.50|20|0|0.2
136|186.80|280.20|2577.84|5523.94|3645.80|1156.00|20|0|0.2
137|189.54|284.31|2615.65|5604.97|3699.28|1164.50|20|0|0.2
138|192.30|288.45|2653.74|5686.59|3753.15|1173.00|20|0|0.2
139|195.08|292.62|2692.10|5768.79|3807.40|1181.50|20|0|0.2
140|197.88|296.82|2730.74|5851.59|3862.05|1190.00|20|0|0.2
141|200.70|301.05|2769.66|5934.99|3917.09|1198.50|20|0|0.2
142|203.54|305.31|2808.85|6018.97|3972.52|1207.00|20|0|0.2
143|206.40|309.60|2848.32|6103.54|4028.34|1215.50|20|0|0.2
144|209.28|313.92|2888.06|6188.71|4084.55|1224.00|20|0|0.2
145|212.18|318.27|2928.08|6274.47|4141.15|1232.50|20|0|0.2
146|215.10|322.65|2968.38|6360.81|4198.14|1241.00|20|0|0.2
147|218.04|327.06|3008.95|6447.75|4255.52|1249.50|20|0|0.2
148|221.00|331.50|3049.80|6535.29|4313.29|1258.00|20|0|0.2
149|223.98|335.97|3090.92|6623.41|4371.45|1266.50|20|0|0.2
150|226.98|340.47|3132.32|6712.12|4430.00|1275.00|20|0|0.2
151|230.00|345.00|3174.00|6801.43|4488.94|1283.50|20|0|0.2
152|233.04|349.56|3215.95|6891.33|4548.27|1292.00|20|0|0.2
153|236.10|354.15|3258.18|6981.81|4608.00|1300.50|20|0|0.2
154|239.18|358.77|3300.68|7072.89|4668.11|1309.00|20|0|0.2
155|242.28|363.42|3343.46|7164.57|4728.61|1317.50|20|0|0.2
156|245.40|368.10|3386.52|7256.83|4789.51|1326.00|20|0|0.2
157|248.54|372.81|3429.85|7349.68|4850.79|1334.50|20|0|0.2
158|251.70|377.55|3473.46|7443.13|4912.46|1343.00|20|0|0.2
159|254.88|382.32|3517.34|7537.17|4974.53|1351.50|20|0|0.2
160|258.08|387.12|3561.50|7631.79|5036.98|1360.00|20|0|0.2
161|261.30|391.95|3605.94|7727.01|5099.83|1368.50|20|0|0.2
162|264.54|396.81|3650.65|7822.83|5163.06|1377.00|20|0|0.2
163|267.80|401.70|3695.64|7919.23|5226.69|1385.50|20|0|0.2
164|271.08|406.62|3740.90|8016.22|5290.71|1394.00|20|0|0.2
165|274.38|411.57|3786.44|8113.81|5355.11|1402.50|20|0|0.2
166|277.70|416.55|3832.26|8211.99|5419.91|1411.00|20|0|0.2
167|281.04|421.56|3878.35|8310.75|5485.10|1419.50|20|0|0.2
168|284.40|426.60|3924.72|8410.11|5550.68|1428.00|20|0|0.2
169|287.78|431.67|3971.36|8510.07|5616.64|1436.50|20|0|0.2
170|291.18|436.77|4018.28|8610.61|5683.00|1445.00|20|0|0.2
171|294.60|441.90|4065.48|8711.74|5749.75|1453.50|20|0|0.2
172|298.04|447.06|4112.95|8813.47|5816.89|1462.00|20|0|0.2
173|301.50|452.25|4160.70|8915.79|5884.42|1470.50|20|0|0.2
174|304.98|457.47|4208.72|9018.69|5952.34|1479.00|20|0|0.2
175|308.48|462.72|4257.02|9122.19|6020.65|1487.50|20|0|0.2
176|312.00|468.00|4305.60|9226.29|6089.35|1496.00|20|0|0.2
177|315.54|473.31|4354.45|9330.97|6158.44|1504.50|20|0|0.2
178|319.10|478.65|4403.58|9436.24|6227.92|1513.00|20|0|0.2
179|322.68|484.02|4452.98|9542.11|6297.79|1521.50|20|0|0.2
180|326.28|489.42|4502.66|9648.57|6368.05|1530.00|20|0|0.2
181|329.90|494.85|4552.62|9755.61|6438.71|1538.50|20|0.2|0.2
182|333.54|500.31|4602.85|9863.25|6509.75|1547.00|20|0.2|0.2
183|337.20|505.80|4653.36|9971.49|6581.18|1555.50|20|0.2|0.2
184|340.88|511.32|4704.14|10080.31|6653.00|1564.00|20|0.2|0.2
185|344.58|516.87|4755.20|10189.72|6725.22|1572.50|20|0.2|0.2
186|348.30|522.45|4806.54|10299.73|6797.82|1581.00|20|0.2|0.2
187|352.04|528.06|4858.15|10410.33|6870.81|1589.50|20|0.2|0.2
188|355.80|533.70|4910.04|10521.51|6944.20|1598.00|20|0.2|0.2
189|359.58|539.37|4962.20|10633.29|7017.97|1606.50|20|0.2|0.2
190|363.38|545.07|5014.64|10745.67|7092.14|1615.00|20|0.2|0.2
191|367.20|550.80|5067.36|10858.63|7166.69|1623.50|20|0.2|0.2
192|371.04|556.56|5120.35|10972.18|7241.64|1632.00|20|0.2|0.2
193|374.90|562.35|5173.62|11086.33|7316.98|1640.50|20|0.2|0.2
194|378.78|568.17|5227.16|11201.07|7392.70|1649.00|20|0.2|0.2
195|382.68|574.02|5280.98|11316.39|7468.82|1657.50|20|0.2|0.2
196|386.60|579.90|5335.08|11432.31|7545.33|1666.00|20|0.2|0.2
197|390.54|585.81|5389.45|11548.83|7622.22|1674.50|20|0.2|0.2
198|394.50|591.75|5444.10|11665.93|7699.51|1683.00|20|0.2|0.2
199|398.48|597.72|5499.02|11783.62|7777.19|1691.50|20|0.2|0.2
200|402.48|603.72|5554.22|11901.91|7855.26|1700.00|20|0.2|0.2
201|406.50|609.75|5609.70|12020.79|7933.72|1708.50|20|0.2|0.2
202|410.54|615.81|5665.45|12140.25|8012.57|1717.00|20|0.2|0.2
203|414.60|621.90|5721.48|12260.31|8091.81|1725.50|30|0.2|0.2
204|418.68|628.02|5777.78|12380.97|8171.44|1734.00|30|0.2|0.2
205|422.78|634.17|5834.36|12502.21|8251.46|1742.50|30|0.2|0.2
206|426.90|640.35|5891.22|12624.04|8331.87|1751.00|30|0.2|0.2
207|431.04|646.56|5948.35|12746.47|8412.67|1759.50|30|0.2|0.2
208|435.20|652.80|6005.76|12869.49|8493.86|1768.00|30|0.2|0.2
209|439.38|659.07|6063.44|12993.09|8575.44|1776.50|30|0.2|0.2
210|443.58|665.37|6121.40|13117.29|8657.41|1785.00|30|0.2|0.2
211|447.80|671.70|6179.64|13242.09|8739.78|1793.50|30|0.2|0.2
212|452.04|678.06|6238.15|13367.47|8822.53|1802.00|30|0.2|0.2
213|456.30|684.45|6296.94|13493.44|8905.67|1810.50|30|0.2|0.2
214|460.58|690.87|6356.00|13620.01|8989.21|1819.00|30|0.2|0.2
215|464.88|697.32|6415.34|13747.17|9073.13|1827.50|30|0.2|0.2
216|469.20|703.80|6474.96|13874.91|9157.44|1836.00|30|0.2|0.2
217|473.54|710.31|6534.85|14003.25|9242.15|1844.50|30|0.2|0.2
218|477.90|716.85|6595.02|14132.19|9327.24|1853.00|30|0.2|0.2
219|482.28|723.42|6655.46|14261.71|9412.73|1861.50|30|0.2|0.2
220|486.68|730.02|6716.18|14391.82|9498.60|1870.00|30|0.2|0.2
221|491.10|736.65|6777.18|14522.53|9584.87|1878.50|30|0.2|0.2
222|495.54|743.31|6838.45|14653.83|9671.52|1887.00|30|0.2|0.2
223|500.00|750.00|6900.00|14785.71|9758.57|1895.50|30|0.2|0.2
224|504.48|756.72|6961.82|14918.19|9846.01|1904.00|30|0.2|0.2
225|508.98|763.47|7023.92|15051.27|9933.84|1912.50|30|0.2|0.2
226|513.50|770.25|7086.30|15184.93|10022.05|1921.00|30|0.2|0.2
227|518.04|777.06|7148.95|15319.18|10110.66|1929.50|30|0.2|0.2
228|522.60|783.90|7211.88|15454.03|10199.66|1938.00|30|0.2|0.2
229|527.18|790.77|7275.08|15589.47|10289.05|1946.50|30|0.2|0.2
230|531.78|797.67|7338.56|15725.49|10378.83|1955.00|30|0.2|0.2
231|536.40|804.60|7402.32|15862.11|10469.00|1963.50|30|0.2|0.2
232|541.04|811.56|7466.35|15999.33|10559.55|1972.00|30|0.2|0.2
233|545.70|818.55|7530.66|16137.13|10650.50|1980.50|30|0.2|0.2
234|550.38|825.57|7595.24|16275.52|10741.85|1989.00|30|0.2|0.2
235|555.08|832.62|7660.10|16414.51|10833.58|1997.50|30|0.2|0.2
236|559.80|839.70|7725.24|16554.09|10925.70|2006.00|30|0.2|0.2
237|564.54|846.81|7790.65|16694.25|11018.21|2014.50|30|0.2|0.2
238|569.30|853.95|7856.34|16835.01|11111.11|2023.00|30|0.2|0.2
239|574.08|861.12|7922.30|16976.37|11204.40|2031.50|30|0.2|0.2
240|578.88|868.32|7988.54|17118.31|11298.08|2040.00|30|0.2|0.2
241|583.70|875.55|8055.06|17260.84|11392.16|2048.50|30|0.2|0.2
242|588.54|882.81|8121.85|17403.97|11486.62|2057.00|30|0.2|0.2
243|593.40|890.10|8188.92|17547.69|11581.47|2065.50|30|0.2|0.2
244|598.28|897.42|8256.26|17691.99|11676.72|2074.00|30|0.2|0.2
245|603.18|904.77|8323.88|17836.89|11772.35|2082.50|30|0.2|0.2
246|608.10|912.15|8391.78|17982.39|11868.37|2091.00|30|0.2|0.2
247|613.04|919.56|8459.95|18128.47|11964.79|2099.50|30|0.2|0.2
248|618.00|927.00|8528.40|18275.14|12061.59|2108.00|30|0.2|0.2
249|622.98|934.47|8597.12|18422.41|12158.79|2116.50|30|0.2|0.2
250|627.98|941.97|8666.12|18570.27|12256.38|2125.00|30|0.2|0.2
251|633.00|949.50|8735.40|18718.71|12354.35|2133.50|30|0.2|0.2
252|638.04|957.06|8804.95|18867.75|12452.72|2142.00|30|0.2|0.2
253|643.10|964.65|8874.78|19017.39|12551.47|2150.50|30|0.2|0.2
254|648.18|972.27|8944.88|19167.61|12650.62|2159.00|30|0.2|0.2
255|653.28|979.92|9015.26|19318.42|12750.16|2167.50|30|0.2|0.2
256|658.40|987.60|9085.92|19469.83|12850.09|2176.00|30|0.2|0.2
257|663.54|995.31|9156.85|19621.83|12950.40|2184.50|30|0.2|0.2
258|668.70|1003.05|9228.06|19774.41|13051.11|2193.00|30|0.2|0.2
259|673.88|1010.82|9299.54|19927.59|13152.21|2201.50|30|0.2|0.2
260|679.08|1018.62|9371.30|20081.37|13253.70|2210.00|30|0.2|0.2
261|684.30|1026.45|9443.34|20235.73|13355.58|2218.50|30|0.2|0.2
262|689.54|1034.31|9515.65|20390.68|13457.85|2227.00|30|0.2|0.2
263|694.80|1042.20|9588.24|20546.23|13560.51|2235.50|30|0.2|0.2
264|700.08|1050.12|9661.10|20702.37|13663.56|2244.00|30|0.2|0.2
265|705.38|1058.07|9734.24|20859.09|13767.00|2252.50|30|0.2|0.2
266|710.70|1066.05|9807.66|21016.41|13870.83|2261.00|30|0.2|0.2
267|716.04|1074.06|9881.35|21174.33|13975.05|2269.50|30|0.2|0.2
268|721.40|1082.10|9955.32|21332.83|14079.67|2278.00|30|0.2|0.2
269|726.78|1090.17|10029.56|21491.92|14184.67|2286.50|30|0.2|0.2
270|732.18|1098.27|10104.08|21651.61|14290.06|2295.00|30|0.2|0.2
271|737.60|1106.40|10178.88|21811.89|14395.84|2303.50|30|0.2|0.2
272|743.04|1114.56|10253.95|21972.75|14502.02|2312.00|30|0.2|0.2
273|748.50|1122.75|10329.30|22134.21|14608.58|2320.50|30|0.2|0.2
274|753.98|1130.97|10404.92|22296.27|14715.54|2329.00|30|0.2|0.2
275|759.48|1139.22|10480.82|22458.91|14822.88|2337.50|30|0.2|0.2
276|765.00|1147.50|10557.00|22622.14|14930.61|2346.00|30|0.2|0.2
277|770.54|1155.81|10633.45|22785.97|15038.74|2354.50|30|0.2|0.2
278|776.10|1164.15|10710.18|22950.39|15147.25|2363.00|30|0.2|0.2
279|781.68|1172.52|10787.18|23115.39|15256.16|2371.50|30|0.2|0.2
280|787.28|1180.92|10864.46|23280.99|15365.46|2380.00|30|0.2|0.2
281|792.90|1189.35|10942.02|23447.19|15475.14|2388.50|30|0.2|0.2
282|798.54|1197.81|11019.85|23613.97|15585.22|2397.00|30|0.2|0.2
283|804.20|1206.30|11097.96|23781.34|15695.69|2405.50|30|0.2|0.2
284|809.88|1214.82|11176.34|23949.31|15806.54|2414.00|30|0.2|0.2
285|815.58|1223.37|11255.00|24117.87|15917.79|2422.50|30|0.2|0.2
286|821.30|1231.95|11333.94|24287.01|16029.43|2431.00|30|0.2|0.2
287|827.04|1240.56|11413.15|24456.75|16141.46|2439.50|30|0.2|0.2
288|832.80|1249.20|11492.64|24627.09|16253.88|2448.00|30|0.2|0.2
289|838.58|1257.87|11572.40|24798.01|16366.69|2456.50|30|0.2|0.2
290|844.38|1266.57|11652.44|24969.52|16479.89|2465.00|30|0.2|0.2
291|850.20|1275.30|11732.76|25141.63|16593.47|2473.50|30|0.2|0.2
292|856.04|1284.06|11813.35|25314.33|16707.45|2482.00|30|0.2|0.2
293|861.90|1292.85|11894.22|25487.61|16821.83|2490.50|30|0.2|0.2
294|867.78|1301.67|11975.36|25661.49|16936.59|2499.00|30|0.2|0.2
295|873.68|1310.52|12056.78|25835.97|17051.74|2507.50|30|0.2|0.2
296|879.60|1319.40|12138.48|26011.03|17167.28|2516.00|30|0.2|0.2
297|885.54|1328.31|12220.45|26186.68|17283.21|2524.50|30|0.2|0.2
298|891.50|1337.25|12302.70|26362.93|17399.53|2533.00|30|0.2|0.2
299|897.48|1346.22|12385.22|26539.77|17516.25|2541.50|30|0.2|0.2
300|903.48|1355.22|12468.02|26717.19|17633.35|2550.00|30|0.2|0.2
301|909.50|1364.25|12551.10|26895.21|17750.84|2558.50|30|0.2|0.4
302|915.54|1373.31|12634.45|27073.83|17868.72|2567.00|30|0.2|0.4
303|921.60|1382.40|12718.08|27253.03|17987.00|2575.50|40|0.2|0.4
304|927.68|1391.52|12801.98|27432.82|18105.66|2584.00|40|0.2|0.4
305|933.78|1400.67|12886.16|27613.21|18224.72|2592.50|40|0.2|0.4
306|939.90|1409.85|12970.62|27794.19|18344.16|2601.00|40|0.2|0.4
307|946.04|1419.06|13055.35|27975.75|18464.00|2609.50|40|0.2|0.4
308|952.20|1428.30|13140.36|28157.91|18584.22|2618.00|40|0.2|0.4
309|958.38|1437.57|13225.64|28340.67|18704.84|2626.50|40|0.2|0.4
310|964.58|1446.87|13311.20|28524.01|18825.85|2635.00|40|0.2|0.4
311|970.80|1456.20|13397.04|28707.94|18947.24|2643.50|40|0.2|0.4
312|977.04|1465.56|13483.15|28892.47|19069.03|2652.00|40|0.2|0.4
313|983.30|1474.95|13569.54|29077.59|19191.21|2660.50|40|0.2|0.4
314|989.58|1484.37|13656.20|29263.29|19313.77|2669.00|40|0.2|0.4
315|995.88|1493.82|13743.14|29449.59|19436.73|2677.50|40|0.2|0.4
316|1002.20|1503.30|13830.36|29636.49|19560.08|2686.00|40|0.2|0.4
317|1008.54|1512.81|13917.85|29823.97|19683.82|2694.50|40|0.2|0.4
318|1014.90|1522.35|14005.62|30012.04|19807.95|2703.00|40|0.2|0.4
319|1021.28|1531.92|14093.66|30200.71|19932.47|2711.50|40|0.2|0.4
320|1027.68|1541.52|14181.98|30389.97|20057.38|2720.00|40|0.2|0.4
321|1034.10|1551.15|14270.58|30579.81|20182.68|2728.50|40|0.2|0.4
322|1040.54|1560.81|14359.45|30770.25|20308.37|2737.00|40|0.2|0.4
323|1047.00|1570.50|14448.60|30961.29|20434.45|2745.50|40|0.2|0.4
324|1053.48|1580.22|14538.02|31152.91|20560.92|2754.00|40|0.2|0.4
325|1059.98|1589.97|14627.72|31345.12|20687.78|2762.50|40|0.2|0.4
326|1066.50|1599.75|14717.70|31537.93|20815.03|2771.00|40|0.2|0.4
327|1073.04|1609.56|14807.95|31731.33|20942.67|2779.50|40|0.2|0.4
328|1079.60|1619.40|14898.48|31925.31|21070.71|2788.00|40|0.2|0.4
329|1086.18|1629.27|14989.28|32119.89|21199.13|2796.50|40|0.2|0.4
330|1092.78|1639.17|15080.36|32315.07|21327.94|2805.00|40|0.2|0.4
331|1099.40|1649.10|15171.72|32510.83|21457.15|2813.50|40|0.2|0.4
332|1106.04|1659.06|15263.35|32707.18|21586.74|2822.00|40|0.2|0.4
333|1112.70|1669.05|15355.26|32904.13|21716.72|2830.50|40|0.2|0.4
334|1119.38|1679.07|15447.44|33101.67|21847.10|2839.00|40|0.2|0.4
335|1126.08|1689.12|15539.90|33299.79|21977.86|2847.50|40|0.2|0.4
336|1132.80|1699.20|15632.64|33498.51|22109.02|2856.00|40|0.2|0.4
337|1139.54|1709.31|15725.65|33697.83|22240.56|2864.50|40|0.2|0.4
338|1146.30|1719.45|15818.94|33897.73|22372.50|2873.00|40|0.2|0.4
339|1153.08|1729.62|15912.50|34098.22|22504.83|2881.50|40|0.2|0.4
340|1159.88|1739.82|16006.34|34299.31|22637.54|2890.00|40|0.2|0.4
341|1166.70|1750.05|16100.46|34500.99|22770.65|2898.50|40|0.2|0.4
342|1173.54|1760.31|16194.85|34703.25|22904.15|2907.00|40|0.2|0.4
343|1180.40|1770.60|16289.52|34906.11|23038.04|2915.50|40|0.2|0.4
344|1187.28|1780.92|16384.46|35109.57|23172.31|2924.00|40|0.2|0.4
345|1194.18|1791.27|16479.68|35313.61|23306.98|2932.50|40|0.2|0.4
346|1201.10|1801.65|16575.18|35518.24|23442.04|2941.00|40|0.2|0.4
347|1208.04|1812.06|16670.95|35723.47|23577.49|2949.50|40|0.2|0.4
348|1215.00|1822.50|16767.00|35929.29|23713.33|2958.00|40|0.2|0.4
349|1221.98|1832.97|16863.32|36135.69|23849.56|2966.50|40|0.2|0.4
350|1228.98|1843.47|16959.92|36342.69|23986.18|2975.00|40|0.2|0.4
351|1236.00|1854.00|17056.80|36550.29|24123.19|2983.50|40|0.2|0.4
352|1243.04|1864.56|17153.95|36758.47|24260.59|2992.00|40|0.2|0.4
353|1250.10|1875.15|17251.38|36967.24|24398.38|3000.50|40|0.2|0.4
354|1257.18|1885.77|17349.08|37176.61|24536.56|3009.00|40|0.2|0.4
355|1264.28|1896.42|17447.06|37386.57|24675.13|3017.50|40|0.2|0.4
356|1271.40|1907.10|17545.32|37597.11|24814.10|3026.00|40|0.2|0.4
357|1278.54|1917.81|17643.85|37808.25|24953.45|3034.50|40|0.2|0.4
358|1285.70|1928.55|17742.66|38019.99|25093.19|3043.00|40|0.2|0.4
359|1292.88|1939.32|17841.74|38232.31|25233.32|3051.50|40|0.2|0.4
