 스테이지|일반몹 한마리당 금화 획득량|일반몹 한마리당 혼백 획득량|일반몹 한마리당 영석 획득량|보스몹 한마리당 금화 획득량|보스몹 한마리당 혼백 획득량|보스몹 한마리당 영석 획득량|플레이어 경험치 획득량
55|31.78|31.78|55.00|317.80|317.80|55.00|55.00
56|32.90|32.90|56.00|329.00|329.00|56.00|56.00
57|34.04|34.04|57.00|340.40|340.40|57.00|57.00
58|35.20|35.20|58.00|352.00|352.00|58.00|58.00
59|36.38|36.38|59.00|363.80|363.80|59.00|59.00
60|37.58|37.58|60.00|375.80|375.80|60.00|60.00
61|38.80|38.80|61.00|388.00|388.00|61.00|61.00
62|40.04|40.04|62.00|400.40|400.40|62.00|62.00
63|41.30|41.30|63.00|413.00|413.00|63.00|63.00
64|42.58|42.58|64.00|425.80|425.80|64.00|64.00
65|43.88|43.88|65.00|438.80|438.80|65.00|65.00
66|45.20|45.20|66.00|452.00|452.00|66.00|66.00
67|46.54|46.54|67.00|465.40|465.40|67.00|67.00
68|47.90|47.90|68.00|479.00|479.00|68.00|68.00
69|49.28|49.28|69.00|492.80|492.80|69.00|69.00
70|50.68|50.68|70.00|506.80|506.80|70.00|70.00
71|52.10|52.10|71.00|521.00|521.00|71.00|71.00
72|53.54|53.54|72.00|535.40|535.40|72.00|72.00
73|55.00|55.00|73.00|550.00|550.00|73.00|73.00
74|56.48|56.48|74.00|564.80|564.80|74.00|74.00
75|57.98|57.98|75.00|579.80|579.80|75.00|75.00
76|59.50|59.50|76.00|595.00|595.00|76.00|76.00
77|61.04|61.04|77.00|610.40|610.40|77.00|77.00
78|62.60|62.60|78.00|626.00|626.00|78.00|78.00
79|64.18|64.18|79.00|641.80|641.80|79.00|79.00
80|65.78|65.78|80.00|657.80|657.80|80.00|80.00
81|67.40|67.40|81.00|674.00|674.00|81.00|81.00
82|69.04|69.04|82.00|690.40|690.40|82.00|82.00
83|70.70|70.70|83.00|707.00|707.00|83.00|83.00
84|72.38|72.38|84.00|723.80|723.80|84.00|84.00
85|74.08|74.08|85.00|740.80|740.80|85.00|85.00
86|75.80|75.80|86.00|758.00|758.00|86.00|86.00
87|77.54|77.54|87.00|775.40|775.40|87.00|87.00
88|79.30|79.30|88.00|793.00|793.00|88.00|88.00
89|81.08|81.08|89.00|810.80|810.80|89.00|89.00
90|82.88|82.88|90.00|828.80|828.80|90.00|90.00
91|84.70|84.70|91.00|847.00|847.00|91.00|91.00
92|86.54|86.54|92.00|865.40|865.40|92.00|92.00
93|88.40|88.40|93.00|884.00|884.00|93.00|93.00
94|90.28|90.28|94.00|902.80|902.80|94.00|94.00
95|92.18|92.18|95.00|921.80|921.80|95.00|95.00
96|94.10|94.10|96.00|941.00|941.00|96.00|96.00
97|96.04|96.04|97.00|960.40|960.40|97.00|97.00
98|98.00|98.00|98.00|980.00|980.00|98.00|98.00
99|99.98|99.98|99.00|999.80|999.80|99.00|99.00
100|101.98|101.98|100.00|1019.80|1019.80|100.00|100.00
101|104.00|104.00|101.00|1040.00|1040.00|101.00|101.00
102|106.04|106.04|102.00|1060.40|1060.40|102.00|102.00
103|108.10|108.10|103.00|1081.00|1081.00|103.00|103.00
104|110.18|110.18|104.00|1101.80|1101.80|104.00|104.00
105|112.28|112.28|105.00|1122.80|1122.80|105.00|105.00
106|114.40|114.40|106.00|1144.00|1144.00|106.00|106.00
107|116.54|116.54|107.00|1165.40|1165.40|107.00|107.00
108|118.70|118.70|108.00|1187.00|1187.00|108.00|108.00
109|120.88|120.88|109.00|1208.80|1208.80|109.00|109.00
110|123.08|123.08|110.00|1230.80|1230.80|110.00|110.00
111|125.30|125.30|111.00|1253.00|1253.00|111.00|111.00
112|127.54|127.54|112.00|1275.40|1275.40|112.00|112.00
113|129.80|129.80|113.00|1298.00|1298.00|113.00|113.00
114|132.08|132.08|114.00|1320.80|1320.80|114.00|114.00
115|134.38|134.38|115.00|1343.80|1343.80|115.00|115.00
116|136.70|136.70|116.00|1367.00|1367.00|116.00|116.00
117|139.04|139.04|117.00|1390.40|1390.40|117.00|117.00
118|141.40|141.40|118.00|1414.00|1414.00|118.00|118.00
119|143.78|143.78|119.00|1437.80|1437.80|119.00|119.00
120|146.18|146.18|120.00|1461.80|1461.80|120.00|120.00
121|148.60|148.60|121.00|1486.00|1486.00|121.00|121.00
122|151.04|151.04|122.00|1510.40|1510.40|122.00|122.00
123|153.50|153.50|123.00|1535.00|1535.00|123.00|123.00
124|155.98|155.98|124.00|1559.80|1559.80|124.00|124.00
125|158.48|158.48|125.00|1584.80|1584.80|125.00|125.00
126|161.00|161.00|126.00|1610.00|1610.00|126.00|126.00
127|163.54|163.54|127.00|1635.40|1635.40|127.00|127.00
128|166.10|166.10|128.00|1661.00|1661.00|128.00|128.00
129|168.68|168.68|129.00|1686.80|1686.80|129.00|129.00
130|171.28|171.28|130.00|1712.80|1712.80|130.00|130.00
131|173.90|173.90|131.00|1739.00|1739.00|131.00|131.00
132|176.54|176.54|132.00|1765.40|1765.40|132.00|132.00
133|179.20|179.20|133.00|1792.00|1792.00|133.00|133.00
134|181.88|181.88|134.00|1818.80|1818.80|134.00|134.00
135|184.58|184.58|135.00|1845.80|1845.80|135.00|135.00
136|187.30|187.30|136.00|1873.00|1873.00|136.00|136.00
137|190.04|190.04|137.00|1900.40|1900.40|137.00|137.00
138|192.80|192.80|138.00|1928.00|1928.00|138.00|138.00
139|195.58|195.58|139.00|1955.80|1955.80|139.00|139.00
140|198.38|198.38|140.00|1983.80|1983.80|140.00|140.00
141|201.20|201.20|141.00|2012.00|2012.00|141.00|141.00
142|204.04|204.04|142.00|2040.40|2040.40|142.00|142.00
143|206.90|206.90|143.00|2069.00|2069.00|143.00|143.00
144|209.78|209.78|144.00|2097.80|2097.80|144.00|144.00
145|212.68|212.68|145.00|2126.80|2126.80|145.00|145.00
146|215.60|215.60|146.00|2156.00|2156.00|146.00|146.00
147|218.54|218.54|147.00|2185.40|2185.40|147.00|147.00
148|221.50|221.50|148.00|2215.00|2215.00|148.00|148.00
149|224.48|224.48|149.00|2244.80|2244.80|149.00|149.00
150|227.48|227.48|150.00|2274.80|2274.80|150.00|150.00
151|230.50|230.50|151.00|2305.00|2305.00|151.00|151.00
152|233.54|233.54|152.00|2335.40|2335.40|152.00|152.00
153|236.60|236.60|153.00|2366.00|2366.00|153.00|153.00
154|239.68|239.68|154.00|2396.80|2396.80|154.00|154.00
155|242.78|242.78|155.00|2427.80|2427.80|155.00|155.00
156|245.90|245.90|156.00|2459.00|2459.00|156.00|156.00
157|249.04|249.04|157.00|2490.40|2490.40|157.00|157.00
158|252.20|252.20|158.00|2522.00|2522.00|158.00|158.00
159|255.38|255.38|159.00|2553.80|2553.80|159.00|159.00
160|258.58|258.58|160.00|2585.80|2585.80|160.00|160.00
161|261.80|261.80|161.00|2618.00|2618.00|161.00|161.00
162|265.04|265.04|162.00|2650.40|2650.40|162.00|162.00
163|268.30|268.30|163.00|2683.00|2683.00|163.00|163.00
164|271.58|271.58|164.00|2715.80|2715.80|164.00|164.00
165|274.88|274.88|165.00|2748.80|2748.80|165.00|165.00
166|278.20|278.20|166.00|2782.00|2782.00|166.00|166.00
167|281.54|281.54|167.00|2815.40|2815.40|167.00|167.00
168|284.90|284.90|168.00|2849.00|2849.00|168.00|168.00
169|288.28|288.28|169.00|2882.80|2882.80|169.00|169.00
170|291.68|291.68|170.00|2916.80|2916.80|170.00|170.00
171|295.10|295.10|171.00|2951.00|2951.00|171.00|171.00
172|298.54|298.54|172.00|2985.40|2985.40|172.00|172.00
173|302.00|302.00|173.00|3020.00|3020.00|173.00|173.00
174|305.48|305.48|174.00|3054.80|3054.80|174.00|174.00
175|308.98|308.98|175.00|3089.80|3089.80|175.00|175.00
176|312.50|312.50|176.00|3125.00|3125.00|176.00|176.00
177|316.04|316.04|177.00|3160.40|3160.40|177.00|177.00
178|319.60|319.60|178.00|3196.00|3196.00|178.00|178.00
179|323.18|323.18|179.00|3231.80|3231.80|179.00|179.00
180|326.78|326.78|180.00|3267.80|3267.80|180.00|180.00
181|330.40|330.40|181.00|3304.00|3304.00|181.00|181.00
182|334.04|334.04|182.00|3340.40|3340.40|182.00|182.00
183|337.70|337.70|183.00|3377.00|3377.00|183.00|183.00
184|341.38|341.38|184.00|3413.80|3413.80|184.00|184.00
185|345.08|345.08|185.00|3450.80|3450.80|185.00|185.00
186|348.80|348.80|186.00|3488.00|3488.00|186.00|186.00
187|352.54|352.54|187.00|3525.40|3525.40|187.00|187.00
188|356.30|356.30|188.00|3563.00|3563.00|188.00|188.00
189|360.08|360.08|189.00|3600.80|3600.80|189.00|189.00
190|363.88|363.88|190.00|3638.80|3638.80|190.00|190.00
191|367.70|367.70|191.00|3677.00|3677.00|191.00|191.00
192|371.54|371.54|192.00|3715.40|3715.40|192.00|192.00
193|375.40|375.40|193.00|3754.00|3754.00|193.00|193.00
194|379.28|379.28|194.00|3792.80|3792.80|194.00|194.00
195|383.18|383.18|195.00|3831.80|3831.80|195.00|195.00
196|387.10|387.10|196.00|3871.00|3871.00|196.00|196.00
197|391.04|391.04|197.00|3910.40|3910.40|197.00|197.00
198|395.00|395.00|198.00|3950.00|3950.00|198.00|198.00
199|398.98|398.98|199.00|3989.80|3989.80|199.00|199.00
200|402.98|402.98|200.00|4029.80|4029.80|200.00|200.00
201|407.00|407.00|201.00|4070.00|4070.00|201.00|201.00
202|411.04|411.04|202.00|4110.40|4110.40|202.00|202.00
203|415.10|415.10|203.00|4151.00|4151.00|203.00|203.00
204|419.18|419.18|204.00|4191.80|4191.80|204.00|204.00
205|423.28|423.28|205.00|4232.80|4232.80|205.00|205.00
206|427.40|427.40|206.00|4274.00|4274.00|206.00|206.00
207|431.54|431.54|207.00|4315.40|4315.40|207.00|207.00
208|435.70|435.70|208.00|4357.00|4357.00|208.00|208.00
209|439.88|439.88|209.00|4398.80|4398.80|209.00|209.00
210|444.08|444.08|210.00|4440.80|4440.80|210.00|210.00
211|448.30|448.30|211.00|4483.00|4483.00|211.00|211.00
212|452.54|452.54|212.00|4525.40|4525.40|212.00|212.00
213|456.80|456.80|213.00|4568.00|4568.00|213.00|213.00
214|461.08|461.08|214.00|4610.80|4610.80|214.00|214.00
215|465.38|465.38|215.00|4653.80|4653.80|215.00|215.00
216|469.70|469.70|216.00|4697.00|4697.00|216.00|216.00
217|474.04|474.04|217.00|4740.40|4740.40|217.00|217.00
218|478.40|478.40|218.00|4784.00|4784.00|218.00|218.00
219|482.78|482.78|219.00|4827.80|4827.80|219.00|219.00
220|487.18|487.18|220.00|4871.80|4871.80|220.00|220.00
221|491.60|491.60|221.00|4916.00|4916.00|221.00|221.00
222|496.04|496.04|222.00|4960.40|4960.40|222.00|222.00
223|500.50|500.50|223.00|5005.00|5005.00|223.00|223.00
224|504.98|504.98|224.00|5049.80|5049.80|224.00|224.00
225|509.48|509.48|225.00|5094.80|5094.80|225.00|225.00
226|514.00|514.00|226.00|5140.00|5140.00|226.00|226.00
227|518.54|518.54|227.00|5185.40|5185.40|227.00|227.00
228|523.10|523.10|228.00|5231.00|5231.00|228.00|228.00
229|527.68|527.68|229.00|5276.80|5276.80|229.00|229.00
230|532.28|532.28|230.00|5322.80|5322.80|230.00|230.00
231|536.90|536.90|231.00|5369.00|5369.00|231.00|231.00
232|541.54|541.54|232.00|5415.40|5415.40|232.00|232.00
233|546.20|546.20|233.00|5462.00|5462.00|233.00|233.00
234|550.88|550.88|234.00|5508.80|5508.80|234.00|234.00
235|555.58|555.58|235.00|5555.80|5555.80|235.00|235.00
236|560.30|560.30|236.00|5603.00|5603.00|236.00|236.00
237|565.04|565.04|237.00|5650.40|5650.40|237.00|237.00
238|569.80|569.80|238.00|5698.00|5698.00|238.00|238.00
239|574.58|574.58|239.00|5745.80|5745.80|239.00|239.00
240|579.38|579.38|240.00|5793.80|5793.80|240.00|240.00
241|584.20|584.20|241.00|5842.00|5842.00|241.00|241.00
242|589.04|589.04|242.00|5890.40|5890.40|242.00|242.00
243|593.90|593.90|243.00|5939.00|5939.00|243.00|243.00
244|598.78|598.78|244.00|5987.80|5987.80|244.00|244.00
245|603.68|603.68|245.00|6036.80|6036.80|245.00|245.00
246|608.60|608.60|246.00|6086.00|6086.00|246.00|246.00
247|613.54|613.54|247.00|6135.40|6135.40|247.00|247.00
248|618.50|618.50|248.00|6185.00|6185.00|248.00|248.00
249|623.48|623.48|249.00|6234.80|6234.80|249.00|249.00
250|628.48|628.48|250.00|6284.80|6284.80|250.00|250.00
251|633.50|633.50|251.00|6335.00|6335.00|251.00|251.00
252|638.54|638.54|252.00|6385.40|6385.40|252.00|252.00
253|643.60|643.60|253.00|6436.00|6436.00|253.00|253.00
254|648.68|648.68|254.00|6486.80|6486.80|254.00|254.00
255|653.78|653.78|255.00|6537.80|6537.80|255.00|255.00
256|658.90|658.90|256.00|6589.00|6589.00|256.00|256.00
257|664.04|664.04|257.00|6640.40|6640.40|257.00|257.00
258|669.20|669.20|258.00|6692.00|6692.00|258.00|258.00
259|674.38|674.38|259.00|6743.80|6743.80|259.00|259.00
260|679.58|679.58|260.00|6795.80|6795.80|260.00|260.00
261|684.80|684.80|261.00|6848.00|6848.00|261.00|261.00
262|690.04|690.04|262.00|6900.40|6900.40|262.00|262.00
263|695.30|695.30|263.00|6953.00|6953.00|263.00|263.00
264|700.58|700.58|264.00|7005.80|7005.80|264.00|264.00
265|705.88|705.88|265.00|7058.80|7058.80|265.00|265.00
266|711.20|711.20|266.00|7112.00|7112.00|266.00|266.00
267|716.54|716.54|267.00|7165.40|7165.40|267.00|267.00
268|721.90|721.90|268.00|7219.00|7219.00|268.00|268.00
269|727.28|727.28|269.00|7272.80|7272.80|269.00|269.00
270|732.68|732.68|270.00|7326.80|7326.80|270.00|270.00
271|738.10|738.10|271.00|7381.00|7381.00|271.00|271.00
272|743.54|743.54|272.00|7435.40|7435.40|272.00|272.00
273|749.00|749.00|273.00|7490.00|7490.00|273.00|273.00
274|754.48|754.48|274.00|7544.80|7544.80|274.00|274.00
275|759.98|759.98|275.00|7599.80|7599.80|275.00|275.00
276|765.50|765.50|276.00|7655.00|7655.00|276.00|276.00
277|771.04|771.04|277.00|7710.40|7710.40|277.00|277.00
278|776.60|776.60|278.00|7766.00|7766.00|278.00|278.00
279|782.18|782.18|279.00|7821.80|7821.80|279.00|279.00
280|787.78|787.78|280.00|7877.80|7877.80|280.00|280.00
281|793.40|793.40|281.00|7934.00|7934.00|281.00|281.00
282|799.04|799.04|282.00|7990.40|7990.40|282.00|282.00
283|804.70|804.70|283.00|8047.00|8047.00|283.00|283.00
284|810.38|810.38|284.00|8103.80|8103.80|284.00|284.00
285|816.08|816.08|285.00|8160.80|8160.80|285.00|285.00
286|821.80|821.80|286.00|8218.00|8218.00|286.00|286.00
287|827.54|827.54|287.00|8275.40|8275.40|287.00|287.00
288|833.30|833.30|288.00|8333.00|8333.00|288.00|288.00
289|839.08|839.08|289.00|8390.80|8390.80|289.00|289.00
290|844.88|844.88|290.00|8448.80|8448.80|290.00|290.00
291|850.70|850.70|291.00|8507.00|8507.00|291.00|291.00
292|856.54|856.54|292.00|8565.40|8565.40|292.00|292.00
293|862.40|862.40|293.00|8624.00|8624.00|293.00|293.00
294|868.28|868.28|294.00|8682.80|8682.80|294.00|294.00
295|874.18|874.18|295.00|8741.80|8741.80|295.00|295.00
296|880.10|880.10|296.00|8801.00|8801.00|296.00|296.00
297|886.04|886.04|297.00|8860.40|8860.40|297.00|297.00
298|892.00|892.00|298.00|8920.00|8920.00|298.00|298.00
299|897.98|897.98|299.00|8979.80|8979.80|299.00|299.00
300|903.98|903.98|300.00|9039.80|9039.80|300.00|300.00
301|910.00|910.00|301.00|9100.00|9100.00|301.00|301.00
302|916.04|916.04|302.00|9160.40|9160.40|302.00|302.00
303|922.10|922.10|303.00|9221.00|9221.00|303.00|303.00
304|928.18|928.18|304.00|9281.80|9281.80|304.00|304.00
305|934.28|934.28|305.00|9342.80|9342.80|305.00|305.00
306|940.40|940.40|306.00|9404.00|9404.00|306.00|306.00
307|946.54|946.54|307.00|9465.40|9465.40|307.00|307.00
308|952.70|952.70|308.00|9527.00|9527.00|308.00|308.00
309|958.88|958.88|309.00|9588.80|9588.80|309.00|309.00
310|965.08|965.08|310.00|9650.80|9650.80|310.00|310.00
311|971.30|971.30|311.00|9713.00|9713.00|311.00|311.00
312|977.54|977.54|312.00|9775.40|9775.40|312.00|312.00
313|983.80|983.80|313.00|9838.00|9838.00|313.00|313.00
314|990.08|990.08|314.00|9900.80|9900.80|314.00|314.00
315|996.38|996.38|315.00|9963.80|9963.80|315.00|315.00
316|1002.70|1002.70|316.00|10027.00|10027.00|316.00|316.00
317|1009.04|1009.04|317.00|10090.40|10090.40|317.00|317.00
318|1015.40|1015.40|318.00|10154.00|10154.00|318.00|318.00
319|1021.78|1021.78|319.00|10217.80|10217.80|319.00|319.00
320|1028.18|1028.18|320.00|10281.80|10281.80|320.00|320.00
321|1034.60|1034.60|321.00|10346.00|10346.00|321.00|321.00
322|1041.04|1041.04|322.00|10410.40|10410.40|322.00|322.00
323|1047.50|1047.50|323.00|10475.00|10475.00|323.00|323.00
324|1053.98|1053.98|324.00|10539.80|10539.80|324.00|324.00
325|1060.48|1060.48|325.00|10604.80|10604.80|325.00|325.00
326|1067.00|1067.00|326.00|10670.00|10670.00|326.00|326.00
327|1073.54|1073.54|327.00|10735.40|10735.40|327.00|327.00
328|1080.10|1080.10|328.00|10801.00|10801.00|328.00|328.00
329|1086.68|1086.68|329.00|10866.80|10866.80|329.00|329.00
330|1093.28|1093.28|330.00|10932.80|10932.80|330.00|330.00
331|1099.90|1099.90|331.00|10999.00|10999.00|331.00|331.00
332|1106.54|1106.54|332.00|11065.40|11065.40|332.00|332.00
333|1113.20|1113.20|333.00|11132.00|11132.00|333.00|333.00
334|1119.88|1119.88|334.00|11198.80|11198.80|334.00|334.00
335|1126.58|1126.58|335.00|11265.80|11265.80|335.00|335.00
336|1133.30|1133.30|336.00|11333.00|11333.00|336.00|336.00
337|1140.04|1140.04|337.00|11400.40|11400.40|337.00|337.00
338|1146.80|1146.80|338.00|11468.00|11468.00|338.00|338.00
339|1153.58|1153.58|339.00|11535.80|11535.80|339.00|339.00
340|1160.38|1160.38|340.00|11603.80|11603.80|340.00|340.00
341|1167.20|1167.20|341.00|11672.00|11672.00|341.00|341.00
342|1174.04|1174.04|342.00|11740.40|11740.40|342.00|342.00
343|1180.90|1180.90|343.00|11809.00|11809.00|343.00|343.00
344|1187.78|1187.78|344.00|11877.80|11877.80|344.00|344.00
345|1194.68|1194.68|345.00|11946.80|11946.80|345.00|345.00
346|1201.60|1201.60|346.00|12016.00|12016.00|346.00|346.00
347|1208.54|1208.54|347.00|12085.40|12085.40|347.00|347.00
348|1215.50|1215.50|348.00|12155.00|12155.00|348.00|348.00
349|1222.48|1222.48|349.00|12224.80|12224.80|349.00|349.00
350|1229.48|1229.48|350.00|12294.80|12294.80|350.00|350.00
351|1236.50|1236.50|351.00|12365.00|12365.00|351.00|351.00
352|1243.54|1243.54|352.00|12435.40|12435.40|352.00|352.00
353|1250.60|1250.60|353.00|12506.00|12506.00|353.00|353.00
354|1257.68|1257.68|354.00|12576.80|12576.80|354.00|354.00
355|1264.78|1264.78|355.00|12647.80|12647.80|355.00|355.00
356|1271.90|1271.90|356.00|12719.00|12719.00|356.00|356.00
357|1279.04|1279.04|357.00|12790.40|12790.40|357.00|357.00
358|1286.20|1286.20|358.00|12862.00|12862.00|358.00|358.00
359|1293.38|1293.38|359.00|12933.80|12933.80|359.00|359.00
360|1300.58|1300.58|360.00|13005.80|13005.80|360.00|360.00
361|1307.80|1307.80|361.00|13078.00|13078.00|361.00|361.00
362|1315.04|1315.04|362.00|13150.40|13150.40|362.00|362.00
363|1322.30|1322.30|363.00|13223.00|13223.00|363.00|363.00
364|1329.58|1329.58|364.00|13295.80|13295.80|364.00|364.00
365|1336.88|1336.88|365.00|13368.80|13368.80|365.00|365.00
366|1344.20|1344.20|366.00|13442.00|13442.00|366.00|366.00
367|1351.54|1351.54|367.00|13515.40|13515.40|367.00|367.00
368|1358.90|1358.90|368.00|13589.00|13589.00|368.00|368.00
369|1366.28|1366.28|369.00|13662.80|13662.80|369.00|369.00
370|1373.68|1373.68|370.00|13736.80|13736.80|370.00|370.00
371|1381.10|1381.10|371.00|13811.00|13811.00|371.00|371.00
372|1388.54|1388.54|372.00|13885.40|13885.40|372.00|372.00
373|1396.00|1396.00|373.00|13960.00|13960.00|373.00|373.00
374|1403.48|1403.48|374.00|14034.80|14034.80|374.00|374.00
375|1410.98|1410.98|375.00|14109.80|14109.80|375.00|375.00
376|1418.50|1418.50|376.00|14185.00|14185.00|376.00|376.00
377|1426.04|1426.04|377.00|14260.40|14260.40|377.00|377.00
378|1433.60|1433.60|378.00|14336.00|14336.00|378.00|378.00
379|1441.18|1441.18|379.00|14411.80|14411.80|379.00|379.00
380|1448.78|1448.78|380.00|14487.80|14487.80|380.00|380.00
381|1456.40|1456.40|381.00|14564.00|14564.00|381.00|381.00
382|1464.04|1464.04|382.00|14640.40|14640.40|382.00|382.00
383|1471.70|1471.70|383.00|14717.00|14717.00|383.00|383.00
384|1479.38|1479.38|384.00|14793.80|14793.80|384.00|384.00
385|1487.08|1487.08|385.00|14870.80|14870.80|385.00|385.00
386|1494.80|1494.80|386.00|14948.00|14948.00|386.00|386.00
387|1502.54|1502.54|387.00|15025.40|15025.40|387.00|387.00
388|1510.30|1510.30|388.00|15103.00|15103.00|388.00|388.00
389|1518.08|1518.08|389.00|15180.80|15180.80|389.00|389.00
390|1525.88|1525.88|390.00|15258.80|15258.80|390.00|390.00
391|1533.70|1533.70|391.00|15337.00|15337.00|391.00|391.00
392|1541.54|1541.54|392.00|15415.40|15415.40|392.00|392.00
393|1549.40|1549.40|393.00|15494.00|15494.00|393.00|393.00
394|1557.28|1557.28|394.00|15572.80|15572.80|394.00|394.00
395|1565.18|1565.18|395.00|15651.80|15651.80|395.00|395.00
396|1573.10|1573.10|396.00|15731.00|15731.00|396.00|396.00
397|1581.04|1581.04|397.00|15810.40|15810.40|397.00|397.00
398|1589.00|1589.00|398.00|15890.00|15890.00|398.00|398.00
399|1596.98|1596.98|399.00|15969.80|15969.80|399.00|399.00
400|1604.98|1604.98|400.00|16049.80|16049.80|400.00|400.00
401|1613.00|1613.00|401.00|16130.00|16130.00|401.00|401.00
402|1621.04|1621.04|402.00|16210.40|16210.40|402.00|402.00
403|1629.10|1629.10|403.00|16291.00|16291.00|403.00|403.00
404|1637.18|1637.18|404.00|16371.80|16371.80|404.00|404.00
405|1645.28|1645.28|405.00|16452.80|16452.80|405.00|405.00
406|1653.40|1653.40|406.00|16534.00|16534.00|406.00|406.00
407|1661.54|1661.54|407.00|16615.40|16615.40|407.00|407.00
408|1669.70|1669.70|408.00|16697.00|16697.00|408.00|408.00
409|1677.88|1677.88|409.00|16778.80|16778.80|409.00|409.00
410|1686.08|1686.08|410.00|16860.80|16860.80|410.00|410.00
411|1694.30|1694.30|411.00|16943.00|16943.00|411.00|411.00
412|1702.54|1702.54|412.00|17025.40|17025.40|412.00|412.00
413|1710.80|1710.80|413.00|17108.00|17108.00|413.00|413.00
414|1719.08|1719.08|414.00|17190.80|17190.80|414.00|414.00
415|1727.38|1727.38|415.00|17273.80|17273.80|415.00|415.00
416|1735.70|1735.70|416.00|17357.00|17357.00|416.00|416.00
417|1744.04|1744.04|417.00|17440.40|17440.40|417.00|417.00
418|1752.40|1752.40|418.00|17524.00|17524.00|418.00|418.00
419|1760.78|1760.78|419.00|17607.80|17607.80|419.00|419.00
420|1769.18|1769.18|420.00|17691.80|17691.80|420.00|420.00
421|1777.60|1777.60|421.00|17776.00|17776.00|421.00|421.00
422|1786.04|1786.04|422.00|17860.40|17860.40|422.00|422.00
423|1794.50|1794.50|423.00|17945.00|17945.00|423.00|423.00
424|1802.98|1802.98|424.00|18029.80|18029.80|424.00|424.00
425|1811.48|1811.48|425.00|18114.80|18114.80|425.00|425.00
